"subject","laying","sitting","standing","walking","walking_downstairs","walking_upstairs"
"1","-0.9570738838","-0.986597022553191","-0.994630797358491","-0.170546964549579","-0.0276638676122449","-0.479875245660377"
"11","-0.984884874385965","-0.980831750377358","-0.992385450851064","-0.453265268813559","-0.120463004665217","-0.495927371666667"
"14","-0.972010709215686","-0.981566649444444","-0.97818164","-0.472360616779661","-0.0337820458644444","-0.383497147037037"
"15","-0.981329999027778","-0.988106102033898","-0.985353492641509","-0.39082198537037","0.0619687485333333","-0.2370530733125"
"16","-0.988580046285714","-0.990964251304348","-0.991038638974359","-0.44140618254902","-0.155444882765957","-0.546088862941176"
"17","-0.98147206915493","-0.99454262109375","-0.992129225769231","-0.423446094590164","-0.215092049054348","-0.360272225833333"
"19","-0.983478561807229","-0.986775590136986","-0.985039596164384","0.0336380997853846","0.474317256051282","-0.2053226461925"
"21","-0.984188841222222","-0.989759187058823","-0.976803010674157","-0.200442011365385","-0.0377894711288889","-0.436839580425532"
"22","-0.969570326944444","-0.980944505967742","-0.974969214761905","-0.0367047077608696","0.0383364203555556","-0.0382449785166667"
"23","-0.986204659166667","-0.984550863529412","-0.983283252058823","-0.290410454881356","0.201542909494444","-0.365642513176471"
"25","-0.972859085753425","-0.992478846153846","-0.988404654864865","-0.625595376891892","-0.525789450689655","-0.668208156461538"
"26","-0.989224043947368","-0.992025427435897","-0.990586982162162","-0.36422676440678","-0.201368098258","-0.304540556345455"
"27","-0.986679572567568","-0.990839607428571","-0.987771749375","-0.345482736842105","-0.0437826262613636","-0.50311385627451"
"28","-0.980013419","-0.976891804583333","-0.968513715189873","-0.36260198037037","-0.0268676982326087","-0.318866730039216"
"29","-0.992153982028986","-0.993445760166667","-0.993736906","-0.210469887150943","-0.0382458213333333","-0.225067771046939"
"3","-0.980513202258064","-0.974950363461538","-0.957666856721311","-0.304694442551724","-0.0906707125102041","-0.478434306271186"
"30","-0.976887901571429","-0.988775436451613","-0.967857589322034","-0.389595631107692","-0.234923146633871","-0.55067842"
"5","-0.982689657115385","-0.976024951136364","-0.963059235178571","-0.344954806428571","-0.0368012151170213","-0.289725470425532"
"6","-0.967072436842105","-0.971037479818182","-0.97348053877193","-0.150942917824561","0.136554991314583","-0.244812769960784"
"7","-0.980393046923077","-0.982037243958333","-0.976323086226415","-0.383715797719298","-0.0305226686191489","-0.454647881960784"
"8","-0.973110596111111","-0.984977270652174","-0.989029238518519","-0.311198711041667","0.214841402815789","-0.200277249165854"
"10","-0.979014668793104","-0.989365013888889","-0.963565166136364","-0.107941107467925","0.181419131002632","-0.20121432216383"
"12","-0.968742758833333","-0.977109887058824","-0.971971634098361","-0.08161979534","-0.00701472271717392","-0.385843754230769"
"13","-0.985199684354839","-0.992678212653061","-0.988198276666667","-0.290460801694737","-0.11485155627234","-0.506212135636364"
"18","-0.986404709384615","-0.991924709824561","-0.989544971232877","-0.414797154464286","-0.412728286727273","-0.589410590172414"
"2","-0.985813630833333","-0.987848793695652","-0.980973241666667","-0.304615322881356","0.138120681087234","-0.258639439729167"
"20","-0.983889985147059","-0.982243603030303","-0.959710489315069","-0.138717234372549","-0.199360430553978","-0.256162264623529"
"24","-0.985998546805556","-0.988857403235294","-0.98116164057971","-0.509628168793103","-0.376175794909091","-0.515644617288136"
"4","-0.978542457407407","-0.9768457126","-0.972310894285714","-0.358883413666667","-0.16163290774","-0.418304647307692"
"9","-0.964304065","-0.9655962396","-0.971313768666667","-0.314265401346154","-0.0645354342404762","-0.402044750408163"
