"subject","laying","sitting","standing","walking","walking_downstairs","walking_upstairs"
"1","-0.9605869872","-0.988339184893617","-0.992349818113208","-0.534713440421053","-0.401721464285714","-0.726040200754717"
"11","-0.983302949122807","-0.984349606792453","-0.990378149574468","-0.747564612033898","-0.628902742826087","-0.803845087037037"
"14","-0.97491443","-0.978180020925926","-0.973594305166667","-0.528889535084746","-0.244857128202222","-0.391077873148148"
"15","-0.980745097361111","-0.987694113559322","-0.986654459433962","-0.723051140740741","-0.461599141904762","-0.783004506458333"
"16","-0.988348904571429","-0.984362469130435","-0.98865796025641","-0.45663628254902","-0.36402669587234","-0.620123586470588"
"17","-0.983854158873239","-0.99081824828125","-0.991450377692308","-0.543872996229508","-0.573043711086957","-0.680325770833333"
"19","-0.988558703373494","-0.988151915753425","-0.987524587534247","-0.227829841936346","-0.0983930104846154","-0.50771620575"
"21","-0.984925270666667","-0.986845672352941","-0.979723339662921","-0.443563412692308","-0.293237567085333","-0.603127367234043"
"22","-0.976833164027778","-0.981272224354839","-0.984305238253968","-0.343195610652174","-0.535893778333333","-0.528567802619048"
"23","-0.985502011944444","-0.977936447205882","-0.976241315882353","-0.00623647528983051","-0.09851956305","-0.46895638372549"
"25","-0.971885370136986","-0.989156105538462","-0.987898048378378","-0.690413386081081","-0.734990064137931","-0.830526636615385"
"26","-0.989370490789474","-0.990693114358974","-0.987428086216216","-0.396530418305085","-0.3967016908","-0.715726893818182"
"27","-0.989901169864865","-0.989282516857143","-0.98820826225","-0.417957993859649","-0.474755492045455","-0.657139420784314"
"28","-0.974530843125","-0.978327769444444","-0.973572051898734","-0.574579748518519","-0.48848835173913","-0.68790763372549"
"29","-0.993107759855072","-0.990445861666667","-0.991316374615385","-0.529034897169811","-0.547320886875","-0.710116591836735"
"3","-0.983711904677419","-0.9771595725","-0.975595949508197","-0.543529108103448","-0.613525074285714","-0.738705863898305"
"30","-0.982281553142857","-0.988971211935484","-0.973954338305085","-0.575410267076923","-0.535515048387097","-0.78475388"
"5","-0.986135599038461","-0.97602233","-0.96807230125","-0.633429995714286","-0.551178075319149","-0.668825711276596"
"6","-0.963567540877193","-0.961636555090909","-0.969895845789474","-0.608624354210526","-0.389057047125","-0.571673957058824"
"7","-0.975072995192308","-0.974699194375","-0.974533710754717","-0.190751539207018","-0.397774503468085","-0.631919608823529"
"8","-0.968699222962963","-0.986185349347826","-0.984465744444444","-0.4044825094375","-0.0846674186842105","-0.508248316829268"
"10","-0.978582339137931","-0.98911086","-0.979428729090909","-0.558512650188679","-0.396147929736842","-0.662894135319149"
"12","-0.972713844666667","-0.981408871764706","-0.978792832786885","-0.5314863218","-0.544461425869565","-0.750114855961538"
"13","-0.983670049354839","-0.988612100204082","-0.987871530526316","-0.406173351578947","-0.356579475531915","-0.689235778909091"
"18","-0.990744752923077","-0.990141676315789","-0.989275839041096","-0.664327149285714","-0.678751080363636","-0.784728430344828"
"2","-0.989345368541667","-0.988570804130435","-0.984599905185185","-0.615898188474576","-0.408227423191489","-0.625090981458333"
"20","-0.985707806323529","-0.978458923030303","-0.963973097671233","-0.427690451960784","-0.405294896466667","-0.533201712745098"
"24","-0.983185637916667","-0.986008449264706","-0.979936740869565","-0.511115619482759","-0.328569968545455","-0.562727123050847"
"4","-0.980261236296296","-0.9816994482","-0.976229505535714","-0.772359087333333","-0.668867334444444","-0.762772175"
"9","-0.9597147176","-0.9649413418","-0.972588748666667","-0.419104362884615","-0.425377408333333","-0.677831082857143"
