"subject","laying","sitting","standing","walking","walking_downstairs","walking_upstairs"
"1","-0.7983009404","-0.928444801702128","-0.982313804716981","-0.398032586842105","-0.186530301073469","-0.416260101509434"
"11","-0.976037695614035","-0.948521986037736","-0.981503969574468","-0.584455992033898","-0.137123060369565","-0.376027878888889"
"14","-0.859606047058823","-0.929193937222222","-0.939799869833333","-0.457490009491525","0.178684580868889","-0.143253889222222"
"15","-0.94550856","-0.941195938135593","-0.950204045849057","-0.458344792407407","0.153124178119048","-0.255659340833333"
"16","-0.958111895857143","-0.942588250115942","-0.957173571923077","-0.592150985098039","-0.0534137179170213","-0.418924256078431"
"17","-0.949042531690141","-0.9653996796875","-0.975504840641026","-0.565162507704918","-0.0618876767130435","-0.217393170604167"
"19","-0.964056773975904","-0.952802277671233","-0.964259110821918","-0.324793406057692","0.0828630624102564","-0.368253499"
"21","-0.944449070888889","-0.974447593176471","-0.960041844382022","-0.438149791153846","0.0791271386644444","-0.403357611702128"
"22","-0.913267251263889","-0.926798029822581","-0.943739135238095","-0.381399308043478","-0.0575202606055556","-0.334126221428571"
"23","-0.958465695416667","-0.927090118382353","-0.955291356470588","-0.407577515762712","-0.0453930349148148","-0.410047643333333"
"25","-0.651353241643836","-0.961997268307692","-0.970203660405405","-0.632927475540541","-0.359437080103448","-0.536120293230769"
"26","-0.966576631710526","-0.934587699141026","-0.963909299324324","-0.537183967118644","0.005749436614","-0.274226227272727"
"27","-0.980296339054054","-0.970885296857143","-0.967529105125","-0.550392604912281","-0.071212004425","-0.468707734509804"
"28","-0.95756401875","-0.952281424444444","-0.923857158227848","-0.511573670555556","-0.074058597676087","-0.334626168823529"
"29","-0.981599783623188","-0.971218019833333","-0.982247716","-0.393257505471698","-0.0330868111229167","-0.155993755897959"
"3","-0.968350217419355","-0.874626592115385","-0.921836076557377","-0.456373080862069","-0.233849422120408","-0.447994369152542"
"30","-0.964051810714286","-0.943543732580645","-0.921733233050847","-0.469852794923077","-0.178535173268548","-0.394508080769231"
"5","-0.962525369423077","-0.925669291136364","-0.886745170714286","-0.519636926071429","0.0428533623276596","-0.254091927148936"
"6","-0.905373979824561","-0.939547202909091","-0.94456410754386","-0.421683093508772","0.1446227570625","-0.222161433666667"
"7","-0.910542462919231","-0.88691563825","-0.93728796509434","-0.351706780526316","0.0214440976893617","-0.415307106666667"
"8","-0.917257979425926","-0.93172124","-0.938628186322222","-0.360818978541667","-0.156141093578947","-0.409282851707317"
"10","-0.944304974655172","-0.941511952777778","-0.945048242954545","-0.370471943962264","-0.0616742840815789","-0.361437534680851"
"12","-0.942133255166667","-0.950647188823529","-0.939741929016393","-0.4088962994","-0.105124972078261","-0.395285130961538"
"13","-0.949431319193548","-0.938529931020408","-0.970445378947368","-0.438388953157895","-0.210912766382979","-0.409065516363636"
"18","-0.987648484461539","-0.982226151578947","-0.973264853561644","-0.565563056964286","-0.344299434181818","-0.436218933448276"
"2","-0.975121387916667","-0.955575602173913","-0.960519381481482","-0.577105211694915","-0.0214787881723404","-0.36672824375"
"20","-0.9418940855","-0.942151231515152","-0.918651880273973","-0.389934004313725","0.000242174637777778","-0.320241012294118"
"24","-0.971063024027778","-0.965852262058824","-0.949522556376812","-0.590265845517241","-0.175291708678182","-0.406283377627119"
"4","-0.937187975962963","-0.9198157096","-0.895340042142857","-0.651172628166667","-0.263644030288889","-0.301005898461538"
"9","-0.921929738394","-0.8691725114","-0.940265546444444","-0.513891953269231","0.0888671674047619","-0.509929461428571"
