"subject","laying","sitting","standing","walking","walking_downstairs","walking_upstairs"
"1","-0.9390990524","-0.979641238723404","-0.995249932641509","-0.202794306326316","0.0382291831510204","-0.404321784150943"
"11","-0.983801365614035","-0.981481454339623","-0.993808050638298","-0.396533731864407","0.0351937228130435","-0.355348902222222"
"14","-0.933936178235294","-0.976456609259259","-0.9726995625","-0.421498172542373","0.0212541553977778","-0.323508442240741"
"15","-0.974016176527778","-0.986619609491525","-0.986724998867925","-0.31744092037037","0.235309825547619","-0.0746328434375"
"16","-0.980213187428571","-0.987043828985507","-0.989427670897436","-0.394790433529412","0.0368263528276596","-0.474984014705882"
"17","-0.974359280140845","-0.9939693815625","-0.990927533846154","-0.360991674918033","-0.0226239171245652","-0.1397522212625"
"19","-0.97453373","-0.979238031780822","-0.987352048356164","-0.0299815666923077","0.537012022051282","-0.15687949467775"
"21","-0.968234375555556","-0.990610228","-0.978327686179775","-0.273496158519231","0.104323529982222","-0.319169340234043"
"22","-0.953758542777778","-0.978505368225806","-0.980373909206349","-0.0994928588891304","0.195348406222222","-0.0553996485285714"
"23","-0.970037238333333","-0.986325670882353","-0.983627197058824","-0.275404187920339","0.205428216353704","-0.272605689568627"
"25","-0.929147371232877","-0.991405498153846","-0.990093202837838","-0.609038908918919","-0.372245192931034","-0.521649838769231"
"26","-0.973262289210526","-0.982579546025641","-0.991993372297297","-0.321959549661017","0.022800096142","-0.242820756127273"
"27","-0.980631846891892","-0.988682108428571","-0.99012181225","-0.308702374385965","0.0829831545090909","-0.417607401176471"
"28","-0.9739308675","-0.979820142638889","-0.97251980164557","-0.280062182962963","0.0890721752173913","-0.266101343372549"
"29","-0.986626999275362","-0.991093963666667","-0.995024039692308","-0.135819505761321","0.110663200244167","-0.109793480008163"
"3","-0.980665609032258","-0.970154440961538","-0.960123409508197","-0.316614011689655","-0.0421706943244898","-0.392004211474576"
"30","-0.974789999285714","-0.985008785","-0.972014050847458","-0.351402910907692","-0.106966957087097","-0.420402828153846"
"5","-0.968741678461538","-0.977450812045455","-0.964500917321429","-0.287782607410714","0.0984320090212766","-0.161485339978723"
"6","-0.939114254210526","-0.975351454727273","-0.977100287368421","-0.187934323140351","0.328308506041667","-0.131075372803922"
"7","-0.953424245576923","-0.972697126875","-0.976681834339623","-0.343048405789474","0.0443428315319149","-0.336199426470588"
"8","-0.953538563888889","-0.981142909782609","-0.988219862222222","-0.247389011875","0.136590199860526","-0.166411065387805"
"10","-0.96918420862069","-0.984943144259259","-0.970099814318182","-0.114190001283019","0.215665273157895","-0.139410790617021"
"12","-0.956248487666667","-0.97966614372549","-0.976469472295082","-0.05435763951","0.0235049348717391","-0.321447925192308"
"13","-0.974716920483871","-0.990135477755102","-0.989425965614035","-0.335030121052632","-0.0726602663212766","-0.382460736363636"
"18","-0.985179972153846","-0.993144920175439","-0.990409919315068","-0.37147515625","-0.350086793272727","-0.465097261896552"
"2","-0.976725059791667","-0.985803840652174","-0.983946739814815","-0.346048161016949","0.112841160325532","-0.266720933270833"
"20","-0.965728781617647","-0.981203064242424","-0.96193272890411","-0.147404272166667","-0.0343309987555556","-0.140439074776471"
"24","-0.975893687083333","-0.989529506764706","-0.984183633623188","-0.492419802586207","-0.222324293454545","-0.395790553898305"
"4","-0.958802077592593","-0.9774624984","-0.973497549642857","-0.426719449666667","-0.0722392276888889","-0.294488270365385"
"9","-0.946865494","-0.959413594","-0.971662692","-0.294711163653846","0.103128506197619","-0.342735952653061"
