"subject","laying","sitting","standing","walking","walking_downstairs","walking_upstairs"
"1","-0.86706520518","-0.944084550425532","-0.977070847735849","0.0897127264021053","0.00154990783591837","-0.190976720811321"
"11","-0.971403935438596","-0.934503182830189","-0.968703072553191","-0.0830478435976271","0.0247508134326087","-0.254645206944444"
"14","-0.930366906078431","-0.932644766111111","-0.942178248333333","-0.174601844847458","0.3714824704","0.0163939234574074"
"15","-0.962461124305556","-0.938926430779661","-0.943348788679245","0.111321097159074","0.167518099964286","-0.1019354328"
"16","-0.963635575142857","-0.961456685507246","-0.96931401525641","-0.321500667843137","-0.134598352726809","-0.268063812745098"
"17","-0.954648102253521","-0.96992798921875","-0.97417056948718","-0.0650267622126229","-0.130272514565217","-0.1175197356"
"19","-0.972798824096386","-0.960763181917808","-0.952872872465753","0.169258575663077","0.494457802230769","0.111818164225"
"21","-0.960069247","-0.968060947058824","-0.949694904269663","0.0338465813711538","0.181138042506667","0.0221598658106383"
"22","-0.925524703472222","-0.939546007903226","-0.929161387619048","0.145367520371739","0.225766560777778","0.13068653882619"
"23","-0.982072295833333","-0.953460406470588","-0.962831825294118","-0.0724367317966102","0.0959432893981482","-0.0769773944803922"
"25","-0.78494581909589","-0.959117259384615","-0.959846189054054","-0.251880271094595","-0.196381053741379","-0.380150805384615"
"26","-0.983664034342105","-0.954299410641026","-0.958402317837838","-0.146702156576271","-0.006237000044","-0.185528313272727"
"27","-0.982915951891892","-0.974057855571429","-0.961356141125","-0.13678354122807","-0.0626729573068182","-0.249688517843137"
"28","-0.958436369","-0.946351650416667","-0.893430392658228","-0.127912276044444","0.186441733869565","-0.190589069119608"
"29","-0.989034304057971","-0.969609501666667","-0.973345770461538","-0.0349642325433962","-0.02122937175","-0.196011503540816"
"3","-0.961169982903226","-0.891907751346154","-0.908075353770492","-0.0813024353275862","-0.00770048300204082","-0.0788094156644068"
"30","-0.959974274571429","-0.954076042258065","-0.919475121186441","-0.193856663907692","-0.0216637054241935","-0.297813768569231"
"5","-0.965419520961538","-0.921434735681818","-0.890796360535714","0.00946037755178572","0.0792280694042553","0.0728903158085106"
"6","-0.923706791403509","-0.928264365454545","-0.930336471754386","0.140781621991228","0.339771173822917","0.0978035099588235"
"7","-0.942193953846154","-0.93149063375","-0.941883783773585","-0.0641564202736842","-0.145302311446808","-0.381590523137255"
"8","-0.951816663703704","-0.94421971826087","-0.9500491","0.316982393333333","0.388412779763158","0.263431399878049"
"10","-0.954341849137931","-0.9404502","-0.923378745227273","0.0533911909886792","0.00904660360263158","-0.0390688222212766"
"12","-0.951265971","-0.942768016862745","-0.932775677704918","-0.071302455092","0.150510001156522","-0.168341519859615"
"13","-0.965843757258064","-0.959673916122449","-0.959427618245614","0.0955150666694737","-0.0364535247659574","-0.0636564765818182"
"18","-0.984909884615385","-0.976538530350877","-0.961239135479452","-0.24360627125","-0.309049613818182","-0.363450742586207"
"2","-0.979800877916667","-0.957343498478261","-0.959871697407407","-0.0219048103322034","0.278345041765957","0.00992445881854167"
"20","-0.965595958382353","-0.945198619242424","-0.898194212465753","0.403465950921569","0.524187686888889","-0.0293832440223529"
"24","-0.980830362083333","-0.962773200147059","-0.948970158405797","-0.203193741396552","-0.0861829752472727","-0.252412541966102"
"4","-0.938883374444444","-0.9057829318","-0.889549205","-0.14939963344","-0.129606639466667","-0.117109161492308"
"9","-0.9343665984","-0.911683219","-0.944849431777778","-0.257677616153846","-0.183120455428571","-0.405022798163265"
