"subject","laying","sitting","standing","walking","walking_downstairs","walking_upstairs"
"1","-0.81289155944","-0.934469558085106","-0.977937259622642","-0.279686751494737","-0.297927894693878","0.0859565543849057"
"11","-0.971668077017544","-0.967884390943396","-0.985958517446809","-0.523093394915254","-0.348626581521739","-0.113701770190741"
"14","-0.894055710980392","-0.917678155296296","-0.917781858666667","0.0854892136933898","0.427563832371111","0.687124163703704"
"15","-0.923923991944444","-0.945704713050847","-0.947905911320755","-0.537026414814815","-0.357407559285714","-0.349600353270833"
"16","-0.962524372714286","-0.934652146521739","-0.948540267051282","-0.180501317941176","-0.0379716239787234","-0.094561233145098"
"17","-0.950116956478873","-0.96292107328125","-0.966999000897436","-0.262391594918033","-0.245413541641304","-0.2048157105"
"19","-0.984740998192771","-0.947514931780822","-0.947753961643836","-0.233872331063462","-0.0783635041538461","-0.2399806950525"
"21","-0.940919006555556","-0.956412505058824","-0.942458908314607","-0.164961027194231","-0.145081705591111","-0.22716417293617"
"22","-0.941163951388889","-0.909344305645161","-0.938409884920635","-0.253643608304348","-0.383242679444444","-0.116753339559524"
"23","-0.972261283055556","-0.896125263911765","-0.926110099117647","0.1161434407","0.0947940973814815","0.104508755759412"
"25","-0.694100368012329","-0.962090614615385","-0.96212373972973","-0.430624587162162","-0.449465441724138","-0.237296741292308"
"26","-0.984854487894737","-0.94478134025641","-0.960027795540541","-0.384445322372881","-0.3466485178","-0.400902256363636"
"27","-0.986582387972973","-0.963220672571429","-0.958924794125","-0.345515217192982","-0.303090701863636","-0.197338870980392"
"28","-0.956770904875","-0.9330454775","-0.897600800886076","-0.326046195925926","-0.416940283043478","-0.281685159607843"
"29","-0.986378776086957","-0.965800974333333","-0.978802973692308","-0.283348100981132","-0.262073242045833","0.203057836877551"
"3","-0.96327908016129","-0.864322464038462","-0.904801254590164","-0.422998473965517","-0.389723034061224","-0.350797226271186"
"30","-0.967188198571429","-0.946203823387097","-0.907286793050847","-0.0931447617846154","-0.257393372287097","0.121447414920923"
"5","-0.965882191153846","-0.92184351","-0.858231387857143","-0.483059957321429","-0.353397850212766","-0.28925665906383"
"6","-0.924004748421053","-0.925768475636364","-0.922067224210526","-0.550474621754386","-0.4060143105","-0.36587418445098"
"7","-0.953380646346154","-0.844083052916667","-0.912358813773585","0.133316828089298","-0.100121492529787","-0.124912269443137"
"8","-0.931146497518519","-0.933889846521739","-0.919744963888889","-0.158437341970833","0.0214914840105263","0.133766193578049"
"10","-0.959813667810345","-0.966121042592593","-0.938098683181818","-0.435304215660377","-0.268686170263158","-0.0342347233914894"
"12","-0.948380833666667","-0.935916958235294","-0.914189183770492","-0.4521466944","-0.48739012673913","-0.418599992115385"
"13","-0.945852135806452","-0.934189007346939","-0.964048080877193","-0.269896395250877","-0.233315176510213","-0.184842227972182"
"18","-0.987224804307692","-0.975722121403509","-0.957216177945206","-0.439861578035714","-0.418258649818182","-0.269571390465517"
"2","-0.984792185","-0.956862864130435","-0.946433583518518","-0.455222146440678","-0.162032894287234","-0.09454497643125"
"20","-0.971901324705882","-0.924947175454545","-0.910995860273973","-0.26649772672549","-0.213916756933333","-0.242438965196078"
"24","-0.973057781805556","-0.954402697794118","-0.923802467681159","-0.314646918448276","-0.291553822381818","-0.28314344338983"
"4","-0.962154454259259","-0.9269993168","-0.887554317678571","-0.594198325666667","-0.512694303111111","-0.345109817692308"
"9","-0.9419711636","-0.818001834824","-0.913896832222222","-0.0337965256573077","-0.0349494927142857","-0.244081808302041"
