"subject","laying","sitting","standing","walking","walking_downstairs","walking_upstairs"
"1","-0.9218039756","-0.981606177446808","-0.992536003396226","-0.103492403002105","-0.104052260726531","-0.533059853773585"
"11","-0.975126531403509","-0.972289134150943","-0.98802123106383","-0.41744681559322","-0.173661753717391","-0.513703461481481"
"14","-0.963607433921569","-0.972959409444444","-0.969677515666667","-0.453426008983051","0.194263424111111","-0.409847649281481"
"15","-0.972530077916667","-0.983276251694915","-0.980184086603774","-0.342411927851852","0.1505077506","-0.391313399375"
"16","-0.98724716","-0.982190554782609","-0.985912716923077","-0.441447754509804","-0.0919623368021277","-0.51993124"
"17","-0.979657231408451","-0.99031962640625","-0.989472086666667","-0.211231860180328","-0.236538515947826","-0.437383107916667"
"19","-0.979452188433735","-0.983687272739726","-0.979179149452055","-0.0222869586038462","0.316346415348718","-0.43467125"
"21","-0.977604878888889","-0.986991549529412","-0.97192611741573","-0.0186734409634615","0.06320531452","-0.47772185"
"22","-0.955635614444444","-0.967026275967742","-0.95665395968254","0.158286745226087","-0.118530349166667","-0.151299835619048"
"23","-0.986540200694444","-0.972117016617647","-0.9750536875","-0.0457372334118644","0.2244805035","-0.454324844901961"
"25","-0.963601212876712","-0.987618801076923","-0.982083315","-0.51900424972973","-0.502224768103448","-0.703433692615385"
"26","-0.987901463289474","-0.989521272820513","-0.981129312702703","-0.268948465423729","-0.067941075972","-0.393715352181818"
"27","-0.988174859594595","-0.988531651142857","-0.983022277625","-0.279732022017544","-0.113625944990909","-0.473011558823529"
"28","-0.972336128625","-0.970823336388889","-0.954963155316456","-0.436273009814815","-0.0883598523695652","-0.374495907647059"
"29","-0.994366667681159","-0.989822909333333","-0.990327934615385","-0.169506499226415","-0.0797714324854167","-0.280583556530612"
"3","-0.975305377903226","-0.966568852884615","-0.94820681442623","-0.0898519904044828","-0.159102288018367","-0.48060920220339"
"30","-0.968087778","-0.985294959032258","-0.946639846949153","-0.366537416615385","-0.133124304612577","-0.580878133230769"
"5","-0.976381934807692","-0.966545323409091","-0.943601960178571","-0.305685376071429","-0.089735699787234","-0.378616675957447"
"6","-0.951552664035088","-0.947304700363636","-0.95538157877193","-0.0964999702982456","0.15480886140625","-0.177734840922353"
"7","-0.965359228076923","-0.9684948675","-0.969092161886792","-0.022138358","0.107856840302128","-0.497441363137255"
"8","-0.963791094259259","-0.97932021173913","-0.979135440925926","-0.276436130125","0.134734731236842","-0.379266499780488"
"10","-0.965377553448276","-0.983266741481482","-0.952105964545455","0.0502087634986792","0.0380266696789474","-0.334365043829787"
"12","-0.961653004","-0.972951443333333","-0.964145595245902","-0.013953908696","0.0420631251108696","-0.346565141730769"
"13","-0.978044349516129","-0.988332303469388","-0.980621262631579","-0.113591923723684","-0.0709893839055319","-0.491090809090909"
"18","-0.989710656769231","-0.991044297894737","-0.986277356712329","-0.444453486071429","-0.386565072363636","-0.587926077068965"
"2","-0.984568489166667","-0.984124185869565","-0.97516046","-0.164091969449153","0.227480732542553","-0.2604238389625"
"20","-0.979565196911765","-0.972597744242424","-0.936025033013699","-0.0310650270227451","0.0790379799133333","-0.280450026862745"
"24","-0.98328511625","-0.98561372","-0.973195509565217","-0.40297998362069","-0.0827554911536364","-0.45964779779661"
"4","-0.958037119259259","-0.9615845194","-0.96003249875","-0.320458701","-0.280426776955556","-0.497324087307692"
"9","-0.9550947122","-0.9493949814","-0.963593159555556","-0.322337536730769","0.0705526138333333","-0.484935752040816"
