"subject","laying","sitting","standing","walking","walking_downstairs","walking_upstairs"
"1","-0.9423669466","-0.989797547234043","-0.994815376981132","-0.319308593778947","-0.281963359177551","-0.634665082075472"
"11","-0.985978837192982","-0.987255972641509","-0.992981019787234","-0.751914457457627","-0.668340527608696","-0.795986113703704"
"14","-0.966455343137255","-0.987324239259259","-0.969175636833333","-0.591036936101695","-0.254747132274667","-0.457250612407407"
"15","-0.975727853888889","-0.990180959322034","-0.983188091886792","-0.645075178148148","-0.565396130714286","-0.731422357916667"
"16","-0.988695277714286","-0.989363136376812","-0.99117243","-0.72068229","-0.58966315","-0.787833632352941"
"17","-0.982765526478873","-0.995204564375","-0.992723939358974","-0.582711859672131","-0.57734888","-0.669008763541667"
"19","-0.981890470361446","-0.986727418493151","-0.984536610136986","-0.262442822846154","-0.0229045295641026","-0.4771839145"
"21","-0.982993315111111","-0.990014272588235","-0.976126760674157","-0.4995972025","-0.490804948444444","-0.628915748723404"
"22","-0.976638980972222","-0.977775448387097","-0.968377798253968","-0.553946121521739","-0.583510518055556","-0.667996003333333"
"23","-0.981846854305556","-0.980707211470588","-0.972598810882353","0.146618569064407","0.0746754643666667","-0.51871565"
"25","-0.96825160890411","-0.991781701692308","-0.98401783027027","-0.770300895540541","-0.687034281206897","-0.822403906"
"26","-0.990430914078947","-0.993985447564103","-0.985762255540541","-0.619461036101695","-0.4722007526","-0.673580662727273"
"27","-0.993563778648649","-0.992390264285714","-0.98941848275","-0.623288199649123","-0.46777776875","-0.71917980372549"
"28","-0.971830582375","-0.979465868888889","-0.958758576835443","-0.595965103703704","-0.396720714347826","-0.662505819411765"
"29","-0.997617389275362","-0.995063049","-0.991672052","-0.628501115849057","-0.596578626041667","-0.697454553061225"
"3","-0.984278251290323","-0.977898105576923","-0.960331717868852","-0.607751646034483","-0.576277199387755","-0.716877778644068"
"30","-0.977821335571429","-0.991750682096774","-0.959242165084746","-0.547621753230769","-0.617578814032258","-0.773974451846154"
"5","-0.984618025769231","-0.971598370227273","-0.952286438035714","-0.548053574821429","-0.453697247021277","-0.571344138723404"
"6","-0.953695957368421","-0.952034566","-0.955425138245614","-0.366500534122807","-0.132705384364583","-0.45923633377451"
"7","-0.974117912115385","-0.978634991458333","-0.973671168679245","-0.155339855862632","-0.289096677191489","-0.673327281960784"
"8","-0.968403945925926","-0.987730604130435","-0.983709233333333","-0.473026230833333","-0.125179586744737","-0.46327057804878"
"10","-0.960976821551724","-0.992191529259259","-0.965614081363636","-0.515065335849057","-0.484196484736842","-0.600582998297872"
"12","-0.963949607166667","-0.97848445372549","-0.963059791967213","-0.5611764414","-0.458227490826087","-0.714332592115385"
"13","-0.978150814032258","-0.991723741632653","-0.977197403859649","-0.338527133789474","-0.266399903210638","-0.656088544363636"
"18","-0.991901007538462","-0.99480818754386","-0.988960668767123","-0.710596311071429","-0.744236045090909","-0.826193160862069"
"2","-0.990248702291667","-0.989861950869565","-0.977849827407407","-0.583249293389831","-0.380175306489362","-0.60079849625"
"20","-0.981119820588235","-0.976108353787879","-0.929600007123288","-0.180365335498431","-0.311668472555556","-0.450393446470588"
"24","-0.978596740694444","-0.990854751176471","-0.981119237826087","-0.571594392068966","-0.474449925818182","-0.64611467"
"4","-0.983609073333333","-0.9765477634","-0.964471139464286","-0.724327420666667","-0.621752455777778","-0.740749226346154"
"9","-0.9558062546","-0.9683155878","-0.967491628","-0.602581618269231","-0.463172053809524","-0.734159449387755"
