"subject","laying","sitting","standing","walking","walking_downstairs","walking_upstairs"
"1","-0.8621901854","-0.958435589361702","-0.984617623396226","-0.199252568986316","-0.185720285744898","-0.325961457396226"
"11","-0.967093356491228","-0.969799951132076","-0.982576519787234","-0.610222628813559","-0.456170108913043","-0.55009966"
"14","-0.930151731176471","-0.963320540555556","-0.944405563833333","-0.311386449661017","-0.0787568406777778","0.0488588668185185"
"15","-0.946812642361111","-0.973762179830509","-0.956733900188679","-0.489166383703704","-0.373898631190476","-0.45369356625"
"16","-0.970249638857143","-0.954060994347826","-0.975448632179487","-0.669228540784314","-0.488253939574468","-0.630546675490196"
"17","-0.969014444788732","-0.98336929234375","-0.984291131538461","-0.518618058688525","-0.40943875826087","-0.504066956875"
"19","-0.965624724457831","-0.964238768493151","-0.958578129589041","-0.0952460452365385","0.203979764835897","-0.28884026785"
"21","-0.962349012888889","-0.977839702352941","-0.956723022359551","-0.409516081153846","-0.406392284444444","-0.475369886808511"
"22","-0.946055840972222","-0.951952767258065","-0.932065270793651","-0.438378722826087","-0.338417326388889","-0.369902"
"23","-0.966239347916667","-0.952293277205882","-0.944583829705882","0.185078207383051","0.150825734842593","-0.380388292223529"
"25","-0.910126993561644","-0.979350913692308","-0.968972499594595","-0.562733252702703","-0.485763582068966","-0.567153469846154"
"26","-0.974305179605263","-0.97646387","-0.972333108648649","-0.551927613050847","-0.3345099466","-0.556084778181818"
"27","-0.979890667972973","-0.979482820857143","-0.975525565625","-0.519451704035088","-0.359113724772727","-0.607667730196078"
"28","-0.944218369375","-0.960297525","-0.909652436329114","-0.514602424814815","-0.223354793921739","-0.534835409607843"
"29","-0.98400134173913","-0.980269425833333","-0.980879722923077","-0.416817853396226","-0.381459881875","-0.357213897032653"
"3","-0.96458672483871","-0.946664943653846","-0.913682362622951","-0.569755772241379","-0.332376629371429","-0.514211583728814"
"30","-0.962001199","-0.973876282903226","-0.917449417288136","-0.358344356","-0.356772347348871","-0.449150735076923"
"5","-0.968257068846154","-0.944760322045455","-0.904543921607143","-0.484262828928571","-0.349338414731915","-0.392564530851064"
"6","-0.930153639473684","-0.929725679272727","-0.926664297017544","-0.329681123368421","-0.0143735434","-0.230627015078431"
"7","-0.941130719230769","-0.933081955208333","-0.93870498490566","-0.192909765467895","-0.255045057404255","-0.533982945882353"
"8","-0.944528950555556","-0.965806789347826","-0.964564224074074","-0.301241848645833","-0.00036272967368421","-0.229610952609756"
"10","-0.937692642586207","-0.974459732592593","-0.937786743409091","-0.412616909622642","-0.312347510289474","-0.265371689148936"
"12","-0.9454970225","-0.958511866666667","-0.902356765573771","-0.442503784","-0.344938419969565","-0.594032515192308"
"13","-0.957681621290323","-0.973258277755102","-0.957488799473684","-0.267472373877193","-0.206121707212766","-0.485477308909091"
"18","-0.984329092153846","-0.986535242105263","-0.972352593013699","-0.620331394285714","-0.604735414363636","-0.654029089310345"
"2","-0.972112972708333","-0.971840596086956","-0.961775904814815","-0.530704814745763","-0.320838543553191","-0.450612184791667"
"20","-0.969832241176471","-0.953399068181818","-0.879437674794521","-0.0520065599062745","-0.100566103524444","-0.286627716823529"
"24","-0.964001383472222","-0.977973720735294","-0.963922314202899","-0.534509163793103","-0.374298686727273","-0.564664994745763"
"4","-0.961556660185185","-0.9487697524","-0.914209165714286","-0.609285588016667","-0.429213369555556","-0.575794072115385"
"9","-0.9186053356","-0.9344377378","-0.929769067777778","-0.513797480384615","-0.347540226666667","-0.531482693877551"
