"subject","laying","sitting","standing","walking","walking_downstairs","walking_upstairs"
"1","-0.82431943968","-0.932198374893617","-0.978466072075472","-0.321017953894737","-0.398350390122449","-0.182985518264151"
"11","-0.954849053508772","-0.960711241886792","-0.977437710851064","-0.59974543779661","-0.380559426947826","-0.381223382777778"
"14","-0.917760104901961","-0.946517963703704","-0.934815560833333","-0.265504551525424","-0.223927430580444","0.236659662496296"
"15","-0.923682244861111","-0.963378228474576","-0.928838303773585","-0.481750218518519","-0.34938720602381","-0.308585869854167"
"16","-0.958975084","-0.938863215072464","-0.963574736025641","-0.721137001568627","-0.479939845914894","-0.532486721568627"
"17","-0.96002383915493","-0.97471085296875","-0.977263418717949","-0.615320077704918","-0.428868687826087","-0.496444579791667"
"19","-0.957496024457831","-0.950484417260274","-0.936723548493151","-0.141598402309615","0.0320366671179487","-0.3771327525"
"21","-0.949736575111111","-0.972027251294118","-0.947763172921348","-0.512249343076923","-0.484489974222222","-0.483407096425532"
"22","-0.923552358194444","-0.93356300983871","-0.900222411269841","-0.464019127391304","-0.341863671805556","-0.234023031571429"
"23","-0.959025538194444","-0.938680776617647","-0.924805421470588","-0.061476584759322","-0.218930425944444","-0.470491576431373"
"25","-0.850661340684931","-0.970321897230769","-0.961090396891892","-0.529262243378378","-0.423707329706897","-0.386612992876923"
"26","-0.96613921868421","-0.963650652307692","-0.962967605810811","-0.60946621661017","-0.39299065312","-0.569632"
"27","-0.971806236756757","-0.970528266285714","-0.96540017025","-0.546888146491228","-0.397984195568182","-0.523335975411765"
"28","-0.931675004125","-0.953534292638889","-0.878459662025316","-0.516811574074074","-0.362903836717391","-0.528187016862745"
"29","-0.976679046231884","-0.971011373","-0.975938728769231","-0.429156830566038","-0.323024575098542","-0.074331469755102"
"3","-0.955441855806452","-0.925449629","-0.883439718032787","-0.632643292931034","-0.322440827020408","-0.445181802430508"
"30","-0.952644449285714","-0.959513937258065","-0.888872227966102","-0.331541740923077","-0.252361882572581","-0.151472278383077"
"5","-0.959263063269231","-0.934746865454545","-0.868913993928571","-0.589741506785714","-0.484141274255319","-0.440445051914894"
"6","-0.928694890175439","-0.929549141636364","-0.923108761578947","-0.510648322631579","-0.242353857320833","-0.318173892545098"
"7","-0.918892518653846","-0.895804978125","-0.919848139056604","-0.343894914947368","-0.396909651702128","-0.444994481882353"
"8","-0.93678697","-0.953251156521739","-0.954119826296296","-0.327459577895833","-0.255590314210526","-0.183325647134146"
"10","-0.933701315344828","-0.962459956111111","-0.922961550454545","-0.499759796981132","-0.387780104447368","-0.166969377765957"
"12","-0.940373827666667","-0.948460978823529","-0.850033171967213","-0.4948022154","-0.423553971956522","-0.564435086711538"
"13","-0.946133432096774","-0.96426809755102","-0.946857485438596","-0.379951835438597","-0.400560061212766","-0.470770800363636"
"18","-0.981468841692308","-0.981252632807018","-0.95911345739726","-0.668908146607143","-0.533844932145455","-0.533044636034483"
"2","-0.96109837875","-0.961385745217391","-0.956788725740741","-0.651792839661017","-0.372576755361702","-0.438620401875"
"20","-0.964205915441177","-0.943725755909091","-0.849127347123288","-0.196210236058824","-0.151681987177778","-0.360948341823529"
"24","-0.961369084583333","-0.969105899117647","-0.954407176956522","-0.668032801896552","-0.470147270181818","-0.54907099"
"4","-0.947100325185185","-0.9288505544","-0.887194404285714","-0.593937200833333","-0.457674088","-0.552489628846154"
"9","-0.9034005814","-0.9064712292","-0.910909659555556","-0.562714528653846","-0.424170737142857","-0.456841325204082"
