"subject","laying","sitting","standing","walking","walking_downstairs","walking_upstairs"
"1","-0.850249174586","-0.976161464042553","-0.986386786037736","-0.339032197115789","-0.352449631363265","-0.492611667924528"
"11","-0.97618747122807","-0.985106875471698","-0.978301717234043","-0.514753307627119","-0.318777012804348","-0.471782782222222"
"14","-0.949959040588235","-0.978577117592593","-0.957111767","-0.508595851864407","-0.295315541666667","-0.441048358648148"
"15","-0.955413596111111","-0.986152580338983","-0.950380286226415","-0.253399360296296","-0.22735956545","-0.361096856875"
"16","-0.975892407428571","-0.978632856956522","-0.973157351666667","-0.59574648627451","-0.420844008625532","-0.53239971627451"
"17","-0.971949211126761","-0.98841106765625","-0.980696264102564","-0.40771670852459","-0.316412962967391","-0.416223018291667"
"19","-0.974196217590361","-0.981743664931507","-0.947865639178082","0.228142361865385","0.474962448333333","-0.194485509535"
"21","-0.973410473","-0.984893559764706","-0.956989964269663","-0.246657382884615","-0.366748752888889","-0.446974007021277"
"22","-0.95336692","-0.977266731129032","-0.917018098571429","-0.144648652152174","-0.0954349339722222","-0.19545699252381"
"23","-0.979676078055556","-0.977149986617647","-0.947510436323529","-0.337619203050847","-0.214730713222222","-0.430239229235294"
"25","-0.890517539315068","-0.988002552461538","-0.96807852527027","-0.411909719594595","-0.217799723931034","-0.476144998846154"
"26","-0.988386324868421","-0.990144882307692","-0.969364268513514","-0.368112905762712","-0.12591815458","-0.427686570727273"
"27","-0.987028539054054","-0.987207904714286","-0.970149628875","-0.498017935263158","-0.2966286115","-0.544369229411765"
"28","-0.946804234625","-0.973724326388889","-0.880426103164557","-0.374681071666667","-0.0299969963043478","-0.403636283921569"
"29","-0.99312260884058","-0.988393569","-0.974485449538462","-0.431490048490566","-0.18941800145","-0.260519290404082"
"3","-0.970167262903226","-0.957550637692308","-0.901282267540984","-0.437845763793103","-0.129066574295918","-0.378216681762712"
"30","-0.971789052714286","-0.987034626451613","-0.915742855084746","-0.374440300461538","-0.263061628069355","-0.488039003123077"
"5","-0.975797491730769","-0.957117251818182","-0.909661802321429","-0.372668749642857","-0.295345101425532","-0.263615096246809"
"6","-0.935439769649123","-0.939671400545455","-0.931612384385965","-0.239650710533333","0.0633716052854167","-0.115065008156863"
"7","-0.953684547692308","-0.9436317575","-0.938121637735849","-0.318395104666667","-0.33930147","-0.383889342745098"
"8","-0.957903886111111","-0.982200309782609","-0.969677435925926","-0.102063053808333","-0.130740445236842","-0.240260761682927"
"10","-0.953793912068965","-0.986477363333333","-0.924005912954545","-0.277913780754717","-0.214350280079211","-0.218524716912766"
"12","-0.9566538865","-0.968528985294118","-0.890292711147541","-0.4019759318","-0.178856167345652","-0.426360331538462"
"13","-0.96946349","-0.983218202857143","-0.957154108421053","-0.192856474047368","-0.319677124659574","-0.482113007636364"
"18","-0.992436927692308","-0.989961500350877","-0.964428926438356","-0.609673434464286","-0.489232274509091","-0.59232371"
"2","-0.9864311425","-0.982621389565217","-0.967037112037037","-0.429713536101695","-0.145775970406383","-0.331643577458333"
"20","-0.982619403529412","-0.969913284393939","-0.881019424794521","-0.0936248686019608","-0.0629572600911111","-0.372684353921569"
"24","-0.976570564027778","-0.985676523823529","-0.958540187246377","-0.468295081206897","-0.272469211854545","-0.503188684915254"
"4","-0.967203736481482","-0.9605896358","-0.905464161964286","-0.373384540666667","-0.240298893435556","-0.3710689925"
"9","-0.930297921","-0.950315237","-0.916974437555556","-0.383676120961538","-0.325042890904762","-0.313941631326531"
