"subject","laying","sitting","standing","walking","walking_downstairs","walking_upstairs"
"1","-0.909302721","-0.951315544468085","-0.980773122830189","-0.255940940315789","-0.0318694271979592","-0.453597213018868"
"11","-0.961434420701754","-0.954453821132075","-0.980762968085106","-0.398293336610169","-0.273459111956522","-0.674671878518519"
"14","-0.949107162941176","-0.957020858888889","-0.950999877833333","-0.212925759152542","0.492414379822222","0.196703218737037"
"15","-0.958190099861111","-0.966731518305085","-0.96826485509434","-0.461464065555556","-0.18319480152381","-0.485701745833333"
"16","-0.985957788","-0.960058264057971","-0.98363927","-0.432885310980392","-0.375000625531915","-0.492427493529412"
"17","-0.976164852112676","-0.98161709828125","-0.985954978205128","-0.398809217540984","-0.403380386086957","-0.324273713333333"
"19","-0.97393233253012","-0.968235777945205","-0.965100636164384","-0.01050470716","0.210673073192308","-0.06612935167"
"21","-0.980811216111111","-0.976839728941176","-0.959432562359551","-0.283262474865385","-0.238221682666667","-0.155762354829787"
"22","-0.942570240416667","-0.948367052258065","-0.962327765238095","-0.083501182326087","-0.194915698805556","-0.199313066142857"
"23","-0.984238807777778","-0.965428833529412","-0.967939565","-0.194970369294915","-0.141266888477778","-0.163001294113725"
"25","-0.924536860547945","-0.975805890153846","-0.970456862567568","-0.561322950945946","-0.410311447586207","-0.575169715692308"
"26","-0.970171219605263","-0.970423693717949","-0.974459323783784","-0.318516813050847","-0.22138882542","-0.342703926363636"
"27","-0.979202019189189","-0.976848134285714","-0.980862493125","-0.318182379824561","-0.144904904113636","-0.400528455490196"
"28","-0.961164844875","-0.954180279027778","-0.926655192405063","-0.255029045018519","-0.184392337071739","-0.318210999529412"
"29","-0.976184322608696","-0.9739335945","-0.983654714461538","-0.397277495471698","-0.199225894479167","-0.34170013244898"
"3","-0.962341960806452","-0.934967958846154","-0.916172537704918","-0.418126217413793","-0.302866461179592","-0.431503361525424"
"30","-0.967577361142857","-0.961177109516129","-0.937798124576271","-0.247350343692308","-0.263720763854839","-0.318937001538462"
"5","-0.963202948461538","-0.938003425909091","-0.907190836607143","-0.213127031035714","-0.034175027916383","-0.139801393244681"
"6","-0.932636612807018","-0.934764895454545","-0.943239602105263","-0.203575458733333","0.15284524938125","-0.0464142110215686"
"7","-0.956905310961538","-0.9474199325","-0.957165056226415","-0.366733617894737","-0.299600267680851","-0.408150266666667"
"8","-0.967461239074074","-0.961798676956522","-0.975512276666667","-0.132902199479167","0.0277498065176316","0.16597418695122"
"10","-0.969755777241379","-0.96539546962963","-0.950915730909091","-0.108530029881132","0.0391366814342105","-0.262763367170213"
"12","-0.9456732415","-0.955718183921569","-0.95260195295082","-0.31728248436","-0.212767364326087","-0.406080936346154"
"13","-0.969126880322581","-0.968384415510204","-0.974394378070175","-0.276607954736842","-0.212906662531915","-0.255338945927273"
"18","-0.984999291538462","-0.983027386491228","-0.974294413013699","-0.538152344821429","-0.447030699454545","-0.504364096896552"
"2","-0.9626718875","-0.959814822391304","-0.960627696111111","-0.396659907457627","-0.0874944736085106","-0.248601122"
"20","-0.972278603529412","-0.950963363939394","-0.911409911643836","-0.108892495684314","0.257037841093333","0.115076640798039"
"24","-0.981093036111111","-0.974686891029412","-0.970133388405797","-0.39144792137931","-0.396286646363636","-0.372182912033898"
"4","-0.961479262592593","-0.9337768922","-0.915280955357143","-0.601381129166667","-0.318306481022222","-0.350765737115385"
"9","-0.9598150092","-0.940312313","-0.941510336","-0.240222512134615","-0.250686586719048","-0.327698671183673"
