"subject","laying","sitting","standing","walking","walking_downstairs","walking_upstairs"
"1","-0.8822964508","-0.977904227021277","-0.987497128679245","-0.516691938736842","-0.495422486102041","-0.565892490754717"
"11","-0.982424585438596","-0.989189512641509","-0.981009115744681","-0.623150268983051","-0.397722757934783","-0.517811645740741"
"14","-0.959740488627451","-0.981573087222222","-0.962741032833333","-0.630082075932203","-0.378882872733333","-0.464742933888889"
"15","-0.958224495416667","-0.988881930508475","-0.948275234150943","-0.357633378703704","-0.351630000285714","-0.4372253275"
"16","-0.977509583571429","-0.982057861449275","-0.973926885","-0.673741136862745","-0.470373498510638","-0.509896031372549"
"17","-0.977203498309859","-0.99004126046875","-0.981791318076923","-0.504849290819672","-0.393194731747826","-0.5244683916875"
"19","-0.983944795060241","-0.985576048219178","-0.946607045616438","-0.108388809533846","0.196613286661538","-0.4775147465"
"21","-0.976226919888889","-0.98955931","-0.964530315842697","-0.491859244230769","-0.469790144111111","-0.560968048723404"
"22","-0.958030986944444","-0.982373346290323","-0.919851782380952","-0.374496318695652","-0.284532358444444","-0.338139776690476"
"23","-0.982665212638889","-0.981523241176471","-0.941698515588235","-0.545051691694915","-0.482598325037037","-0.590430783921569"
"25","-0.891308069041096","-0.990550003076923","-0.97266417","-0.406678108108108","-0.316252107741379","-0.500119831476923"
"26","-0.990970119605263","-0.991318436410256","-0.975321645675676","-0.532999609491525","-0.3981998635","-0.590812298"
"27","-0.989382328918919","-0.988984618428571","-0.970221836375","-0.642349125614035","-0.390968436431818","-0.574254281745098"
"28","-0.958092114","-0.98161514125","-0.886706768227848","-0.545480217777778","-0.345453346086957","-0.556383410588235"
"29","-0.994652185217391","-0.990727755166667","-0.979162564923077","-0.654313559056604","-0.319123137947917","-0.350338205020408"
"3","-0.975986433709677","-0.968013062884615","-0.901985672459016","-0.615121369827586","-0.30863033105102","-0.484820991355932"
"30","-0.974488400714286","-0.988484803225806","-0.911718163220339","-0.399032346","-0.278386596338226","-0.503484236964615"
"5","-0.980705769807692","-0.969390369318182","-0.912780915714286","-0.529392790178571","-0.51494094106383","-0.501685580212766"
"6","-0.962164978596491","-0.963407046545455","-0.952817395263158","-0.515323854385965","-0.286724914610417","-0.390248128039216"
"7","-0.962348254423077","-0.9427264225","-0.947891986226415","-0.563615256666667","-0.432730974446809","-0.368636961470588"
"8","-0.967846360740741","-0.985339301521739","-0.974200997592593","-0.234252005895833","-0.302735102631579","-0.409955580780488"
"10","-0.96454456637931","-0.989712360740741","-0.932273942727273","-0.458292932830189","-0.339514358157895","-0.34130162006383"
"12","-0.969254585333333","-0.976339901372549","-0.884385204098361","-0.5931428818","-0.4223632375","-0.5604629635"
"13","-0.973446792419355","-0.986714694081633","-0.955818411578947","-0.435714710526316","-0.452190386808511","-0.562911002545455"
"18","-0.993019371692308","-0.992575399473684","-0.962272711643836","-0.734901390178571","-0.513947089545455","-0.60071129637931"
"2","-0.988860685833333","-0.986808501521739","-0.97498812462963","-0.604053019152542","-0.379436674361702","-0.476358845625"
"20","-0.985154588529412","-0.978433538484848","-0.890525705068493","-0.279931528352941","-0.253365630644444","-0.532021733921569"
"24","-0.984713284166667","-0.988891551764706","-0.961885695217391","-0.616915839310345","-0.484894683818182","-0.602945480677966"
"4","-0.975094739444444","-0.973333107","-0.912464793928571","-0.542646759","-0.414919000955556","-0.483548693461538"
"9","-0.9463891504","-0.9618360162","-0.924738576444444","-0.507404512692308","-0.423558773952381","-0.361626377102041"
