"subject","laying","sitting","standing","walking","walking_downstairs","walking_upstairs"
"1","-0.9512320494","-0.962345042553192","-0.987107727735849","-0.0335081597884211","-0.181414728657143","0.151538905566038"
"11","-0.982660631754386","-0.982137919056604","-0.994353086595745","-0.453663184067797","-0.481127494565217","-0.153787850538889"
"14","-0.929955407058824","-0.958227403148148","-0.944306864","0.0832950551222034","0.0741391154937778","0.646233637037037"
"15","-0.959991907083333","-0.973456092372881","-0.969442882075472","-0.365361208555556","-0.360972848571429","-0.243612269004167"
"16","-0.968135251857143","-0.954343752463768","-0.978402418717949","-0.61194087745098","-0.565214032765957","-0.559600598431373"
"17","-0.970627806901408","-0.984813098125","-0.983946584871795","-0.439238787704918","-0.469390428043478","-0.481154119791667"
"19","-0.959831365783133","-0.955598610136986","-0.966967238082192","-0.133010285461538","-0.028489571974359","-0.149925160355"
"21","-0.946599855444444","-0.974723217647059","-0.954080913707865","-0.419400879423077","-0.388418746666667","-0.478299637021277"
"22","-0.960711254583333","-0.946107943548387","-0.962172736666667","-0.481624411086957","-0.570339899444444","-0.473882071666667"
"23","-0.954997309583333","-0.943733421029412","-0.945871186029412","0.286581518449153","0.12605231802963","-0.301619977058824"
"25","-0.932293334794521","-0.979828883230769","-0.975960666081081","-0.567201282027027","-0.470641125","-0.349362687538462"
"26","-0.977491843421053","-0.969488188974359","-0.981740873108108","-0.587939604576271","-0.4975063388","-0.598236639818182"
"27","-0.983052318513513","-0.981037690285714","-0.98185775725","-0.530943838421053","-0.543033246590909","-0.587869474313725"
"28","-0.957552988125","-0.953207017222222","-0.936101609113924","-0.497470739444444","-0.293108364565217","-0.459989315686274"
"29","-0.992240785652174","-0.987259808666667","-0.989643721230769","-0.0941359695075472","-0.354872689583333","0.234346783653061"
"3","-0.977032495483871","-0.939609988461538","-0.923125941147541","-0.568888673448276","-0.553094540204082","-0.556045947118644"
"30","-0.965134152428571","-0.973804950806452","-0.939469774067797","0.0955456046230769","-0.255732054951613","0.0449545535584615"
"5","-0.977257800961538","-0.947571471590909","-0.931857811428571","-0.502683380535714","-0.431552775319149","-0.403486393191489"
"6","-0.945365097894737","-0.944901470363636","-0.942539174210526","-0.332008706842105","-0.235470976166667","-0.31361857145098"
"7","-0.939727873653846","-0.93824472","-0.945818157735849","-0.290859379017544","-0.351717743191489","-0.579964614705882"
"8","-0.950316470925926","-0.96892443326087","-0.968055495925926","-0.1908057215","-0.0461356322868421","-0.0478802512585366"
"10","-0.953453496551724","-0.983579646666667","-0.958399857954545","-0.204392821584906","-0.343237004473684","0.171735785297872"
"12","-0.955343675666667","-0.959040695686274","-0.938529853770492","-0.4437983296","-0.518923134565217","-0.483918390576923"
"13","-0.959944126451613","-0.97827070877551","-0.97142515122807","-0.318618506122807","-0.24966032923617","-0.364283258727273"
"18","-0.983457774923077","-0.985710087894737","-0.978801848493151","-0.460890661785714","-0.607757979272727","-0.443429836896552"
"2","-0.981910616458333","-0.977356188695652","-0.97103605037037","-0.533046952542373","-0.458732747446809","-0.459758488958333"
"20","-0.973092518088235","-0.958015696363636","-0.901237499589041","0.107704805445098","-0.159961424355556","-0.079046721372549"
"24","-0.95779294875","-0.976252427794118","-0.965798055507246","-0.495896271896552","-0.523412701636364","-0.586177824237288"
"4","-0.956182500185185","-0.954120419","-0.945825840178571","-0.654657770166667","-0.691518367333333","-0.489824279230769"
"9","-0.9231319366","-0.910583361","-0.941950576888889","-0.490990336346154","-0.364282565714286","-0.352033091612245"
