"subject","laying","sitting","standing","walking","walking_downstairs","walking_upstairs"
"1","-0.9165825082","-0.94391784106383","-0.98234533","-0.436562227473684","-0.238443565306122","-0.57170784"
"11","-0.963183902982456","-0.956802766792453","-0.98230878106383","-0.498554639491525","-0.397220471086957","-0.729928728518519"
"14","-0.957790479803922","-0.956028807962963","-0.950162705166667","-0.180232949016949","0.182794696328889","0.522454216314815"
"15","-0.960015831111111","-0.966228648305085","-0.971282183584906","-0.543997593703704","-0.3436733","-0.523744300833333"
"16","-0.985730995857143","-0.964270052318841","-0.983527402051282","-0.403219791372549","-0.521100818723404","-0.387309489901961"
"17","-0.978357126056338","-0.9809696453125","-0.986725274871795","-0.438768699508197","-0.540949520217391","-0.2778914704375"
"19","-0.975417523855422","-0.967869249178082","-0.963212791780822","-0.220271190807692","-0.215892226769231","-0.207498123525"
"21","-0.983270707333333","-0.979130678470588","-0.963124572134831","-0.385505359038462","-0.450772139111111","0.0130916351042553"
"22","-0.936965638611111","-0.951045695483871","-0.963652778888889","-0.253173876956522","-0.377319033611111","-0.222431794690476"
"23","-0.98531784125","-0.961914054264706","-0.9642499225","-0.287820868152542","-0.305896699222222","-0.0822521122215686"
"25","-0.915467504246575","-0.974172870615385","-0.974982088108108","-0.603544209459459","-0.506738306724138","-0.601112612153846"
"26","-0.971789046710526","-0.968266666923077","-0.977351005","-0.426232090508475","-0.434482187","-0.362052183090909"
"27","-0.980096438108108","-0.977595519142857","-0.983105048875","-0.297847512280702","-0.367816046590909","-0.183508696647059"
"28","-0.966312024","-0.961561036111111","-0.932039083037975","-0.308243390425926","-0.416505886304348","-0.22624337505098"
"29","-0.976858964492754","-0.972912517166667","-0.984714226461538","-0.494117483018868","-0.416165845833333","-0.444153056530612"
"3","-0.967256854193548","-0.930633150769231","-0.919743846065574","-0.545896388103448","-0.548164313265306","-0.561097649661017"
"30","-0.972199238","-0.95730868516129","-0.935176884915254","-0.237941473615385","-0.371541476129032","-0.253427074984615"
"5","-0.963305738076923","-0.947346476590909","-0.91678935625","-0.420367075178571","-0.374705187021277","-0.380378006808511"
"6","-0.947136774385965","-0.947326797818182","-0.95445570245614","-0.512209233508772","-0.275667262770833","-0.309998085098039"
"7","-0.9588764125","-0.939826018125","-0.954339406415094","-0.463270018245614","-0.495120053191489","-0.393062890647059"
"8","-0.970671966481481","-0.962632253913044","-0.975976456111111","-0.1429742348125","-0.268253406210526","0.263202878429268"
"10","-0.975298797068965","-0.962418559814815","-0.958901257272727","-0.273292866226415","-0.1503916379","-0.403822082765957"
"12","-0.956424382333333","-0.954769877647059","-0.954335764426229","-0.4222565212","-0.448512990434783","-0.396095719423077"
"13","-0.969797214516129","-0.969451754693878","-0.97553326754386","-0.455333900526316","-0.427008254255319","-0.272525011818182"
"18","-0.986483048153846","-0.98279727631579","-0.974822589589041","-0.54840977125","-0.543996110545454","-0.466022431206897"
"2","-0.963174222291667","-0.963522659782609","-0.969754295740741","-0.559856635084746","-0.422987665106383","-0.218072471479167"
"20","-0.974995267058824","-0.949176822121212","-0.914872014383562","-0.264957205764706","0.0183050845333333","0.095476833245098"
"24","-0.983602745694445","-0.972851787647059","-0.972688652173913","-0.453337858448276","-0.573281905454545","-0.311996408983051"
"4","-0.965807466666667","-0.9328683544","-0.91665163125","-0.716458475166667","-0.621658471333333","-0.424533512307692"
"9","-0.965686312","-0.9341874784","-0.944942811777778","-0.342367223269231","-0.356561471714286","-0.165554554220408"
