"subject","laying","sitting","standing","walking","walking_downstairs","walking_upstairs"
"1","-0.9543962646","-0.987364195531915","-0.992367790566038","-0.141428809031579","-0.0894474807979592","-0.466503446226415"
"11","-0.983330628421053","-0.97935563509434","-0.989242377234043","-0.402333202033898","-0.198206139934783","-0.509587701296296"
"14","-0.972576392941176","-0.976521006111111","-0.972965788166667","-0.377293155084746","0.0353601375466667","-0.28366383592037"
"15","-0.979890228194444","-0.986107839152542","-0.981495125660377","-0.320129322962963","-0.0372666071540476","-0.316050382083333"
"16","-0.988349656571429","-0.987472699130435","-0.989205231794872","-0.363144483529412","-0.165908810808511","-0.48321905"
"17","-0.981607627887324","-0.99281471515625","-0.991742753589744","-0.301093269180328","-0.221631694184783","-0.357233897916667"
"19","-0.98478434","-0.986423976027397","-0.983068923561644","0.109450990201923","0.434490400974359","-0.114189605875"
"21","-0.982800330555556","-0.985947225176471","-0.974765161910112","-0.148138991523077","-0.0802241799933333","-0.355047693617021"
"22","-0.971169779305556","-0.979303714032258","-0.975876006507936","0.02291996735","-0.0179784626888889","-0.0957840344357143"
"23","-0.987010197361111","-0.982375503382353","-0.978671485441176","-0.0670819655881356","0.112982475627778","-0.311143885098039"
"25","-0.962161355890411","-0.989545142461538","-0.984647071216216","-0.538291424594595","-0.50048333137931","-0.679160843538462"
"26","-0.989970604210526","-0.990898435769231","-0.986985213648649","-0.290758024915254","-0.1488562664","-0.404463896363636"
"27","-0.988372773648649","-0.989467178285714","-0.985347620125","-0.230500549298246","-0.115421210625","-0.479067422156863"
"28","-0.978455341875","-0.973274366805556","-0.959551987468354","-0.299223359444444","-0.0707560279130435","-0.388086248235294"
"29","-0.992725367826087","-0.990719807666667","-0.990785419538462","-0.240231677415094","-0.138637624454167","-0.344324833061224"
"3","-0.979484593387097","-0.969080752884615","-0.959303840327869","-0.280009317413793","-0.205239246653061","-0.436901159491525"
"30","-0.97923282","-0.987799055645161","-0.971225190169491","-0.352111713846154","-0.293738801622581","-0.596600099538461"
"5","-0.980141253846154","-0.969320155681818","-0.956863566071429","-0.288333024071429","-0.0637528559361702","-0.247403476914894"
"6","-0.954750504912281","-0.962733502","-0.967102436140351","-0.195117026052632","0.10384507225","-0.207379799254902"
"7","-0.980127239615385","-0.976559676458333","-0.973381306226415","-0.192948900438596","-0.170319619372979","-0.458695232352941"
"8","-0.97314748962963","-0.986061512173913","-0.984920797777778","-0.0668322430433333","0.262628490268421","-0.141494613465854"
"10","-0.976234435172414","-0.988054237592593","-0.965163818409091","-0.132624992298283","0.0507010228431579","-0.262038042446809"
"12","-0.969843834166667","-0.974734489803922","-0.968790683278689","-0.144064922688","-0.107091019565217","-0.432469300961538"
"13","-0.985467853870968","-0.989497838979592","-0.98680002754386","-0.133205034736842","-0.127926051502128","-0.456190454"
"18","-0.98832154","-0.989869574561404","-0.98596529369863","-0.379269262142857","-0.466516044","-0.601463948275862"
"2","-0.987741696041667","-0.986774713043478","-0.980489077407407","-0.281424153881356","0.00565516335106383","-0.321268911041667"
"20","-0.984670073823529","-0.978774578333333","-0.956624899041096","-0.0429359302764706","-0.0612699838466667","-0.255611242098039"
"24","-0.985529270555556","-0.985555822352941","-0.977620953913043","-0.399722201034483","-0.263106944836364","-0.488487620508475"
"4","-0.970095771666667","-0.9701322836","-0.963370738392857","-0.366700879833333","-0.228851413747333","-0.400922254807692"
"9","-0.9633745492","-0.964383757","-0.969524578888889","-0.203733615519231","-0.16237608927619","-0.440667540204082"
