"subject","laying","sitting","standing","walking","walking_downstairs","walking_upstairs"
"1","-0.9548551108","-0.987910804468085","-0.992251177358491","-0.502699788526316","-0.345735032326531","-0.706593530943396"
"11","-0.982111784210526","-0.983441609622641","-0.990132989574468","-0.720654731186441","-0.579710482173913","-0.785359167222222"
"14","-0.972431855490196","-0.976133383518519","-0.970766734","-0.472791088644068","-0.133634060621778","-0.327868814314815"
"15","-0.978402956527778","-0.987011024745763","-0.985301940754717","-0.686268420555556","-0.404005582309524","-0.748809454166667"
"16","-0.987644127","-0.983487212898551","-0.988073825641026","-0.44025821745098","-0.303381582831915","-0.593411129607843"
"17","-0.98281300056338","-0.990529261875","-0.991217027307692","-0.534303311639344","-0.536331570652174","-0.657430836041667"
"19","-0.988260181084337","-0.986704740273973","-0.986142491917808","-0.179390497475","-0.0200111148717949","-0.4442822275"
"21","-0.983977644222222","-0.985823622941176","-0.977915677191011","-0.425142604807692","-0.246061882112444","-0.562052350212766"
"22","-0.974527011944444","-0.978928356290323","-0.981478064920635","-0.313155902608696","-0.477806646111111","-0.471703304761905"
"23","-0.984663476666667","-0.975978995","-0.973595215441176","-0.0293115056033898","0.0310157077775926","-0.408094020392157"
"25","-0.96783552630137","-0.988433153384615","-0.987062685135135","-0.675601403648649","-0.711494695517241","-0.812458372307692"
"26","-0.989064628947368","-0.99000871051282","-0.986693448648649","-0.397483516101695","-0.3793359516","-0.677995585454545"
"27","-0.989685146621622","-0.988904001571429","-0.987354788","-0.401188539824561","-0.409310918409091","-0.633722935098039"
"28","-0.973071655875","-0.976327426666667","-0.969765362025316","-0.537470471666667","-0.427053261304348","-0.637488941176471"
"29","-0.993288313333333","-0.990168733","-0.990593859692308","-0.461758009811321","-0.478764185","-0.678763766530612"
"3","-0.982093162903226","-0.974661565961538","-0.973059634918033","-0.52948611637931","-0.571735243061224","-0.708551711864407"
"30","-0.979517896142857","-0.988164381290323","-0.968897316101695","-0.521351855076923","-0.467070153387097","-0.761942025384615"
"5","-0.985419368461538","-0.973436529545455","-0.963832118928571","-0.612895318571429","-0.52265163787234","-0.63836903212766"
"6","-0.959646055263158","-0.958572952545454","-0.967547241754386","-0.575777466491228","-0.336817322270833","-0.560830688235294"
"7","-0.972983064230769","-0.972256472708333","-0.972060053207547","-0.149488514397895","-0.347107758021277","-0.60780843627451"
"8","-0.96608757462963","-0.985285807173913","-0.982610899259259","-0.383200596479167","-0.0135136269","-0.447518179097561"
"10","-0.976256662586207","-0.988255803703704","-0.9764306","-0.511662905849057","-0.318188417289474","-0.607520480212766"
"12","-0.970629308166667","-0.97911346627451","-0.975556976885246","-0.512276838","-0.498655793478261","-0.719336352692308"
"13","-0.983070657419355","-0.987612090204082","-0.986926242631579","-0.374633172105263","-0.31704660987234","-0.660921263636364"
"18","-0.990660246153846","-0.990153121754386","-0.988455249452055","-0.633325860714286","-0.651246664909091","-0.760829911206897"
"2","-0.988442014375","-0.98751821173913","-0.982841446481482","-0.586090418983051","-0.340122023191489","-0.5737463525"
"20","-0.984989224117647","-0.976522488787879","-0.958936310958904","-0.387664584313725","-0.381503405466667","-0.513641207058824"
"24","-0.983087366805556","-0.984662946764706","-0.977716354927536","-0.491189466034483","-0.290239376563636","-0.523807264237288"
"4","-0.978511984259259","-0.9790387658","-0.973054201071429","-0.7513913825","-0.626646986888889","-0.726495311923077"
"9","-0.958562455","-0.9618894376","-0.970584264666667","-0.409764526153846","-0.359513362761905","-0.647296002040816"
