"subject","laying","sitting","standing","walking","walking_downstairs","walking_upstairs"
"1","-0.8419291525","-0.948536786170213","-0.984278207358491","-0.136971176556842","0.0271882914106122","-0.129927630735849"
"11","-0.980621180175439","-0.961970763773585","-0.984853836595745","-0.288323472033898","0.126227657258696","-0.132594623759259"
"14","-0.905978250196078","-0.944197943703704","-0.943456847333333","-0.144404671779661","0.185537706866667","0.140108204051852"
"15","-0.955340661527778","-0.958669836271186","-0.961207616226415","-0.186514650759259","0.320449387166667","-0.000971394711666667"
"16","-0.961834634857143","-0.961879680724638","-0.969948825128205","-0.258766694117647","0.191079793587447","-0.233990331568627"
"17","-0.953021411126761","-0.97274734640625","-0.977635981410256","-0.151151487704918","0.148951103536087","-0.0128062276916667"
"19","-0.96626080686747","-0.962074065616438","-0.960505683561644","0.0648173438653846","0.644604325128205","0.01738119347275"
"21","-0.952596583222222","-0.974734999411765","-0.958774298089888","-0.123455661519231","0.245771699004444","-0.0810453188106383"
"22","-0.934993799305556","-0.942167353870968","-0.954807661269841","0.0722419121669565","0.330999221944444","0.210282608333333"
"23","-0.962959196805556","-0.944080772941176","-0.957212267058824","-0.0988770198220339","0.127211137694444","-0.0117536873784314"
"25","-0.56047777609589","-0.970409337076923","-0.972663592162162","-0.40528943","-0.22010859462069","-0.305772199076923"
"26","-0.976785042368421","-0.953079994102564","-0.968511694324324","-0.223399171830508","0.114379383742","-0.142874499381818"
"27","-0.982091652162162","-0.979481668857143","-0.972753287375","-0.238853875263158","0.108071382861364","-0.160589355980392"
"28","-0.95811223025","-0.955789708611111","-0.92547165164557","-0.1806660203","0.104359216580435","-0.186240503960784"
"29","-0.986493196666667","-0.978017021833333","-0.984745318923077","-0.0955213393716981","0.103705165666667","0.00834360271428571"
"3","-0.972791346129032","-0.895383350192308","-0.925430819016393","-0.254690333275862","-0.0628126118283674","-0.184014895"
"30","-0.969829984285714","-0.957487221451613","-0.930573574915254","-0.195140032969231","-0.0373901122469355","-0.137627857227385"
"5","-0.966777882884615","-0.9379783225","-0.906104701071429","-0.158338674394643","0.211138853638298","0.0435562021989362"
"6","-0.918878850824561","-0.949543531272727","-0.945022876491228","-0.166840713631579","0.333754731458333","0.0177790974433333"
"7","-0.936392023846154","-0.918432107083333","-0.942724659245283","-0.0978090439438596","0.0198795285851064","-0.198074437978431"
"8","-0.935308633888889","-0.952139704347826","-0.953762884074074","0.0516786278104167","0.176599311818421","0.121026629195122"
"10","-0.956781819655172","-0.96075719962963","-0.951988907954545","-0.127400912069811","0.250843769394737","-0.0266623294757447"
"12","-0.9482046755","-0.952176621372549","-0.941459935081967","-0.102204550448","0.0183139429630435","-0.229183927115385"
"13","-0.960517768225806","-0.957690563673469","-0.971564243157895","-0.135643867842105","-0.0294634299553191","-0.10115350174"
"18","-0.986456241538462","-0.983674151754386","-0.972607495342466","-0.287908078035714","-0.293531973636364","-0.279146312758621"
"2","-0.977435485208333","-0.967893623913043","-0.965875181296296","-0.290407593728814","0.0899511204978723","-0.107322679520833"
"20","-0.960743126176471","-0.952738043030303","-0.92240685739726","0.039402280578902","0.221851587933333","0.00872502461176471"
"24","-0.9718540425","-0.968979156470588","-0.950061017681159","-0.299983613965517","-0.0737699163072727","-0.226402822033898"
"4","-0.954557603148148","-0.93569482","-0.906478051785714","-0.312050574166667","-0.0491616726733333","-0.153703935357692"
"9","-0.9308684376","-0.8933617176","-0.945167482444444","-0.0980840496143461","0.145886357935714","-0.260727581428571"
