"subject","laying","sitting","standing","walking","walking_downstairs","walking_upstairs"
"1","-0.0405139534294","-0.00130828765170213","-0.0161375901037736","-0.0173838185273684","-0.00991850461020408","-0.0239531492643396"
"11","-0.0176598052315789","-0.0149195616754717","-0.0171990886595745","-0.0166475833623729","-0.0178097721219565","-0.0303157822055556"
"14","-0.0113424652490196","-0.00870565463888889","-0.01520781344","-0.0217785380966102","-0.0200141413657778","-0.0204388180024074"
"15","-0.0166296542054167","-0.0117188472271186","-0.0183516360396226","-0.0170809740090741","-0.00563047804309524","-0.0287523860708333"
"16","-0.0166103510562857","-0.0102497939956522","-0.0165999672935897","-0.0204286929452941","-0.0183898583787234","-0.0143654945011765"
"17","-0.0168462006729577","-0.014156274084375","-0.0174120064169231","-0.0184875403339344","-0.0167359404347826","-0.0228645614308333"
"19","-0.0171426864421687","-0.016739260030137","-0.0154244056945205","-0.0191773587903846","-0.0145942275069487","-0.0303986615775"
"21","-0.0184233048415556","-0.0144009705494118","-0.0167084730205618","-0.0181610317526923","-0.0173195390157778","-0.0237218695148936"
"22","-0.0142629864502778","-0.0123468446419355","-0.0158563207496825","-0.0167213607957174","-0.0197999371686389","-0.0268622561133333"
"23","-0.0216553835833333","-0.0133945015676471","-0.0177475547867647","-0.0183618711932203","-0.0162111457238889","-0.0323844029237255"
"25","-0.0188943663671233","-0.0147696808030769","-0.0163569730274324","-0.0186477624716216","-0.0210170522987931","-0.0269863524264615"
"26","-0.0191895728026316","-0.00713364541358974","-0.0166608306652703","-0.0154259586949153","-0.01262580966778","-0.0281633797398182"
"27","-0.0179867611216216","-0.0155269799285714","-0.016593236445","-0.0166478783221912","-0.0135564467159091","-0.0200953324078431"
"28","-0.0167537858225","-0.0185404441258333","-0.0172635124672152","-0.0156759722981481","-0.0220230465913043","-0.0279443943478431"
"29","-0.0171965484202899","-0.016630680375","-0.0172605869061538","-0.0162915600588679","-0.01494121505625","-0.0299465312326531"
"3","-0.0189556785048387","-0.00350299841730769","-0.0143376555065574","-0.0171767844203448","-0.0193554079328571","-0.0324109410555932"
"30","-0.0194494098614286","-0.00804731295322581","-0.0170163887813559","-0.0175880385730769","-0.0174383900204839","-0.0253311698786154"
"5","-0.0183042123269231","-0.00990083527045455","-0.00700418554517857","-0.0172850317482679","-0.00850107533191489","-0.0325269755153191"
"6","-0.0102529170561404","-0.0145911615290909","-0.0181236327175439","-0.0168954189082456","-0.019536840063125","-0.0272425385070588"
"7","-0.0204411516884615","-0.01461097580375","-0.0145740341037736","-0.018653665345614","-0.0166332372978723","-0.0275639005607843"
"8","-0.0212281733881481","-0.00672550621304348","-0.0148113067148148","-0.0186628865310417","-0.0211058674973684","-0.0282415136341463"
"10","-0.024294484137931","-0.015042681852037","-0.0155418603409091","-0.017022351190566","-0.0200050770710526","-0.0143854920340426"
"12","-0.0175203917146667","-0.0157892988523529","-0.0169002543196721","-0.015560927606","-0.018084266865793","-0.0263574903403846"
"13","-0.020440454366129","-0.00587732936326531","-0.0167891993964912","-0.0185660651947368","-0.0143723839108511","-0.0277392253910909"
"18","-0.0173937684615385","-0.0128691279736842","-0.0166353518150685","-0.0178023631866071","-0.0168666920221818","-0.0222060684378914"
"2","-0.0181587397583333","-0.0156879937282609","-0.0184208270166667","-0.0185949199145763","-0.0226614158361702","-0.0214121132045833"
"20","-0.0144406281132353","-0.0147229305131818","-0.0180695049161644","-0.021199992245098","-0.00964120773155556","-0.0282258047588235"
"24","-0.0173555210111111","-0.0131255097938235","-0.0144785340348986","-0.0225446400534483","-0.0145730348310909","-0.0251979434569492"
"4","-0.0150031841055556","-0.007163065158","-0.00948911098553571","-0.0148399475341667","-0.00980200850666667","-0.0319804295729615"
"9","-0.020526821662","-0.02701677698","-0.0200454954022222","-0.0180891971284423","-0.0203994269075476","-0.0195101099975714"
