"subject","laying","sitting","standing","walking","walking_downstairs","walking_upstairs"
"1","-0.11320355358","-0.104544182255319","-0.110601817735849","-0.111148103547368","-0.107566190908163","-0.0973020020943396"
"11","-0.108786578070175","-0.112840218339623","-0.108686630425532","-0.106096304033898","-0.111070149978261","-0.106797216481481"
"14","-0.0868333315509804","-0.100401490425926","-0.103817701790667","-0.106756369135593","-0.0928330165533333","-0.112279688983333"
"15","-0.118530240291667","-0.11366125320339","-0.105910832679245","-0.107621819518519","-0.110526066428571","-0.116952464895833"
"16","-0.107310493242857","-0.0891404038405797","-0.103657729076923","-0.108804049803922","-0.119873705148936","-0.124074517745098"
"17","-0.107006279704225","-0.11362408509375","-0.111432145565","-0.109792122032787","-0.0892432745173913","-0.121290442104167"
"19","-0.10898146186747","-0.10870765430137","-0.10904190460274","-0.122736673192308","-0.133695240660974","-0.151054607725"
"21","-0.103253832233333","-0.112057887741176","-0.110417855808989","-0.104319332403846","-0.09816866218","-0.125414265340426"
"22","-0.110800924652778","-0.105827369516129","-0.104967423820635","-0.107112510934783","-0.1074157796","-0.117550861738095"
"23","-0.104256776291667","-0.103808679294118","-0.1105970177575","-0.113382994084746","-0.0988123712574074","-0.126890616782353"
"25","-0.100428830260274","-0.109160440476923","-0.107352957594595","-0.108737636297297","-0.107192376965517","-0.126210440292308"
"26","-0.105002540289474","-0.0974448692333333","-0.110237796416216","-0.108927011474576","-0.1064396194","-0.121943461236364"
"27","-0.107699732837838","-0.105521912588571","-0.107835818025","-0.112822289263158","-0.112837694688636","-0.123530438196078"
"28","-0.1083448529625","-0.111517939555556","-0.106579385202532","-0.103714705396296","-0.10858897408913","-0.121514025692157"
"29","-0.109462068173913","-0.1104118192","-0.108659067476923","-0.106632427301887","-0.0981339984895833","-0.118000587840816"
"3","-0.101300477506452","-0.0983579203269231","-0.101621722633148","-0.112674859827586","-0.116139842908163","-0.110064863437288"
"30","-0.1036581505","-0.099515446133871","-0.108756209835593","-0.0986247068969231","-0.0999781422322581","-0.124697493775385"
"5","-0.107937603673077","-0.108540300265909","-0.102171095696429","-0.107741776464286","-0.100319930659574","-0.107471453914894"
"6","-0.133119570368421","-0.110127728709091","-0.112172831947368","-0.110303165877193","-0.107209356208333","-0.122082438784314"
"7","-0.101361036576923","-0.122464597625","-0.0997778303207547","-0.110912234947368","-0.096938308587234","-0.143769688803922"
"8","-0.102245365611111","-0.104461049130435","-0.106114996837037","-0.107252090833333","-0.107598135394737","-0.11512211995122"
"10","-0.117168642362069","-0.104253238796296","-0.107964083931818","-0.109057512132075","-0.110848597247368","-0.118180420834043"
"12","-0.108160125666667","-0.106307228960784","-0.105526999754098","-0.10316110632","-0.10955593226087","-0.107339730115385"
"13","-0.104331864532258","-0.0972465110836735","-0.112124137754386","-0.111431456192982","-0.101993941531915","-0.125767265890909"
"18","-0.107698927907692","-0.111904775824561","-0.108453355945205","-0.104218315464286","-0.1033908092","-0.112655891327586"
"2","-0.107245610416667","-0.109218272456522","-0.105908536055556","-0.105500357966102","-0.116812942382979","-0.152513899520833"
"20","-0.104274322538235","-0.108369634515152","-0.100402759931507","-0.113539477098039","-0.104602925937778","-0.121023947784314"
"24","-0.107236237236111","-0.103041061426471","-0.108222553855072","-0.110595952913793","-0.104818820272727","-0.114248610966102"
"4","-0.110688150314815","-0.10587459588","-0.0961574905535714","-0.11140306485","-0.1067775246","-0.114219455519231"
"9","-0.10754972144","-0.07537846886","-0.0952747481333333","-0.110820512307692","-0.0910278793952381","-0.125219003959184"
