"subject","laying","sitting","standing","walking","walking_downstairs","walking_upstairs"
"1","-0.826061401628","-0.93958629106383","-0.979775876981132","-0.260027902210526","-0.230434213204082","-0.0194792388471698"
"11","-0.971311176842105","-0.968370181886792","-0.986382712765957","-0.530626311355932","-0.324026938043478","-0.203369399185185"
"14","-0.900331921686275","-0.922774835740741","-0.9222763115","0.0518841040022034","0.451576075111111","0.609017879074074"
"15","-0.929586835277778","-0.949338025084746","-0.951670257924528","-0.518932634814815","-0.281982181666667","-0.379717488104167"
"16","-0.965490276285714","-0.939672247101449","-0.953468961666667","-0.159799790235294","0.0114353944787234","-0.129283825721569"
"17","-0.953476700140845","-0.96572919578125","-0.970462679230769","-0.265824489180328","-0.231064156615217","-0.230220954239583"
"19","-0.984672837228916","-0.951929615068493","-0.952599653972603","-0.13947794235","0.049322451025641","-0.1904685504575"
"21","-0.945653787777778","-0.959567861764706","-0.946123407078652","-0.16868872575","-0.0717893558666667","-0.219707928574468"
"22","-0.942945807916667","-0.917564853870968","-0.942201655238095","-0.213351968804348","-0.325722718055556","-0.109613216345238"
"23","-0.973223495416667","-0.905584390323529","-0.929409745147059","0.164220685383051","0.229898742944444","0.10080118935098"
"25","-0.717262004013699","-0.965139552153846","-0.964642688108108","-0.437133403243243","-0.457972381896552","-0.296523975076923"
"26","-0.984500013157895","-0.950004414102564","-0.962988401351351","-0.333486502542373","-0.284807676","-0.404596936545455"
"27","-0.986636996081081","-0.965858735142857","-0.962408444875","-0.297318273508772","-0.240040783340909","-0.23070787672549"
"28","-0.956450342875","-0.936667245694444","-0.905123824177215","-0.300928395925926","-0.341031811521739","-0.28598691372549"
"29","-0.987255149855072","-0.968063878166667","-0.980207488923077","-0.242828038264151","-0.223177999879167","0.0995443502346939"
"3","-0.96369103483871","-0.875110175384615","-0.911419015081967","-0.387411994310345","-0.362240245489796","-0.369754604067797"
"30","-0.967044236428571","-0.950654041290323","-0.912850596949152","-0.120476783907692","-0.217275690290323","0.0249468034966154"
"5","-0.968562516346154","-0.926094740227273","-0.869327321785714","-0.45702143625","-0.325891435319149","-0.308938978787234"
"6","-0.925216100350877","-0.925797097090909","-0.925692371929825","-0.504324207192982","-0.320204232520417","-0.353519514896078"
"7","-0.952978365961539","-0.8565329414375","-0.917064168490566","0.159631283261403","-0.0636402447755319","-0.145665025639216"
"8","-0.932491454407407","-0.939553030217391","-0.926065255185185","-0.1420885318125","0.1337170395","0.121187278790244"
"10","-0.95947148637931","-0.967826981666667","-0.941271440454545","-0.395645072075472","-0.183557562032895","-0.0738744931340426"
"12","-0.9483338435","-0.939661889019608","-0.920684800114754","-0.4106060626","-0.425017413478261","-0.436697425576923"
"13","-0.950392995483871","-0.938641215510204","-0.967538031754386","-0.220503537026316","-0.158333146191489","-0.217210568085455"
"18","-0.987658662307692","-0.977572717017544","-0.961873909178082","-0.428348061071429","-0.418610127454545","-0.31437339137931"
"2","-0.984233296875","-0.95982817173913","-0.949741851296296","-0.425257524915254","-0.10283790806383","-0.112121021220833"
"20","-0.972571998382353","-0.929106396818182","-0.913142481643836","-0.228734217372549","-0.160938536488889","-0.229249455098039"
"24","-0.973566958888889","-0.957056111470588","-0.930283530144928","-0.288840016206897","-0.205566380745455","-0.255601012881356"
"4","-0.962667314814815","-0.9322030066","-0.896880538392857","-0.586252806833333","-0.479185977111111","-0.372137777692308"
"9","-0.9407072854","-0.83200187268","-0.919295805777778","-0.0579636469030769","-0.00771530035714285","-0.253434083542857"
