"subject","laying","sitting","standing","walking","walking_downstairs","walking_upstairs"
"1","-0.96346103","-0.991976341276596","-0.994966790566038","-0.298703679084211","-0.295463843346939","-0.59488286509434"
"11","-0.990641248245614","-0.989519031132076","-0.993428183617021","-0.63073270559322","-0.599294760652174","-0.757314813888889"
"14","-0.975621183137255","-0.988317606666667","-0.974873328","-0.519895046779661","-0.275120883488889","-0.399921949557407"
"15","-0.983235025416667","-0.992188893898305","-0.984407077924528","-0.543979500555556","-0.509466648095238","-0.663637117708333"
"16","-0.990839526285714","-0.992444606231884","-0.992848576025641","-0.671541834117647","-0.590896636382979","-0.737705162156863"
"17","-0.985542411126761","-0.996334795","-0.993672973717949","-0.517167440655738","-0.540325787826087","-0.637367490625"
"19","-0.985342497710843","-0.989450316575342","-0.985801637671233","-0.164699977592308","0.0875816618205128","-0.372790526575"
"21","-0.985915906888889","-0.990307349882353","-0.976857084157303","-0.426930725","-0.452828682444444","-0.577935642978723"
"22","-0.981716936388889","-0.98547603483871","-0.978603529206349","-0.461999528913043","-0.459579670833333","-0.568111869047619"
"23","-0.984557478611111","-0.986514066029412","-0.9763992525","0.0115305410508475","-0.0463117766203704","-0.504367150588235"
"25","-0.969783262465753","-0.99286465","-0.985091991216216","-0.678466069054054","-0.664713625172414","-0.777106026615385"
"26","-0.99219798","-0.994466446282051","-0.98854482527027","-0.51239882559322","-0.4187798104","-0.648099850181818"
"27","-0.994355043783784","-0.994034710714286","-0.989532103875","-0.562587199473684","-0.440546586136364","-0.699895090784314"
"28","-0.978220270625","-0.981213159305556","-0.959681019113924","-0.546248758518519","-0.340417305565217","-0.620279797647059"
"29","-0.997322526811594","-0.995392308166667","-0.992144698923077","-0.506242118113208","-0.539174456458333","-0.617340803061225"
"3","-0.98671362516129","-0.977998051923077","-0.962339339672131","-0.566135217931034","-0.508567577142857","-0.658861401355932"
"30","-0.985086413428571","-0.993737388225806","-0.972995273898305","-0.472068729846154","-0.574337006451613","-0.718780256769231"
"5","-0.9864194225","-0.973848287045455","-0.958405900892857","-0.444532485357143","-0.39719562106383","-0.47348816787234"
"6","-0.955645738245614","-0.962929227818182","-0.963406222982456","-0.321290483140351","-0.0829366854166667","-0.342895367921569"
"7","-0.983008829038462","-0.981665122291667","-0.977377083018868","-0.300022779964912","-0.399229959148936","-0.661969771960784"
"8","-0.978438191296296","-0.991807428043478","-0.987580587777778","-0.339129269583333","-0.126189142894737","-0.400664014146341"
"10","-0.970830848965517","-0.993707487592593","-0.971637661590909","-0.440363636603774","-0.401854311315789","-0.523462968510638"
"12","-0.971067768833333","-0.980392337647059","-0.969289973606557","-0.5174937754","-0.442831079130435","-0.674972132307692"
"13","-0.98544626483871","-0.992604304489796","-0.983637634912281","-0.303508210175439","-0.323552439276596","-0.631964902181818"
"18","-0.993095122615385","-0.994873439824561","-0.988685954931507","-0.636485896964286","-0.701663073636364","-0.781652689310345"
"2","-0.991767074166667","-0.991081493913043","-0.983951904259259","-0.547911950338983","-0.410872671489362","-0.572816438541667"
"20","-0.986749500882353","-0.983010276060606","-0.94793650109589","-0.194893253196078","-0.268183423577778","-0.37192841627451"
"24","-0.982780873888889","-0.991306424705882","-0.982387268985507","-0.507824745862069","-0.497152238363636","-0.658751629152542"
"4","-0.985068502037037","-0.9804904618","-0.967614073928571","-0.6813040365","-0.592843014888889","-0.686978374423077"
"9","-0.964524819","-0.9733641366","-0.969824044222222","-0.510253995769231","-0.469028434047619","-0.672840561836735"
