"subject","laying","sitting","standing","walking","walking_downstairs","walking_upstairs"
"1","-0.9358409828","-0.988308728510638","-0.994733238679245","-0.325324878894737","-0.306510645530612","-0.648553044339623"
"11","-0.984476476666667","-0.986256664716981","-0.992579166595745","-0.753671416101695","-0.677750588478261","-0.80112703962963"
"14","-0.964009921960784","-0.986963989814815","-0.966834217","-0.606103313898305","-0.274744003577778","-0.485819293703704"
"15","-0.973650041666667","-0.989720049491525","-0.98143282754717","-0.63778595537037","-0.563640131190476","-0.748954848541667"
"16","-0.988212425428571","-0.988261252608696","-0.990809427435897","-0.722808438431373","-0.595822214468085","-0.797293228431373"
"17","-0.982038121126761","-0.994446755625","-0.992372117307692","-0.53970849147541","-0.592319490869565","-0.68231162875"
"19","-0.980245510843374","-0.985831284657534","-0.983069427945205","-0.271487480103846","-0.0438985022538462","-0.50740029025"
"21","-0.982246471555556","-0.990302232705882","-0.976153687752809","-0.450369988846154","-0.509130858444444","-0.647723419148936"
"22","-0.974201690972222","-0.976503766290323","-0.966086148412698","-0.503106312391304","-0.617659355833333","-0.675633024285714"
"23","-0.981314831666667","-0.979226997941177","-0.972387365294118","0.250173204117966","0.0594908483888889","-0.551275188627451"
"25","-0.96830952260274","-0.991766403076923","-0.983230809594595","-0.757032544864865","-0.67960595137931","-0.824883302769231"
"26","-0.989917354473684","-0.994033207051282","-0.984253792432432","-0.603468672372881","-0.463140795","-0.661829656545455"
"27","-0.993484313243243","-0.992112829571429","-0.988819784","-0.618718628596491","-0.465807533547727","-0.724671165490196"
"28","-0.96977327725","-0.978441918333333","-0.956266480126582","-0.579861194259259","-0.407132335434783","-0.670132120784314"
"29","-0.997666071594203","-0.994905344","-0.991453632153846","-0.612222937169811","-0.59705704875","-0.712846318367347"
"3","-0.983139255645161","-0.976772675961538","-0.957679766885246","-0.567371560862069","-0.583919211020408","-0.718028040338983"
"30","-0.976177142571429","-0.991280225","-0.955995671864407","-0.546977272307692","-0.617662073548387","-0.774439096769231"
"5","-0.98377138","-0.970392610454546","-0.947970723571429","-0.48919974625","-0.450303212340426","-0.557988065531915"
"6","-0.953157001578947","-0.950150571818182","-0.952536233859649","-0.364708342315789","-0.111228416159583","-0.440079851313725"
"7","-0.971205137884615","-0.976214430208333","-0.97210793","-0.0953401161070176","-0.29477867693617","-0.67642807254902"
"8","-0.969029111666667","-0.986756670869565","-0.982460332222222","-0.502957255416667","-0.157484866842105","-0.493975031707317"
"10","-0.959632931551724","-0.991696196481481","-0.964409410454545","-0.501027916603774","-0.494105756315789","-0.618272355319149"
"12","-0.962012018333333","-0.978260535882353","-0.961923171967213","-0.5488904506","-0.452449935","-0.713406712307692"
"13","-0.975113305645161","-0.991414934897959","-0.976197659649123","-0.322118379807018","-0.27649151037234","-0.669216383090909"
"18","-0.992153054","-0.994868913508772","-0.988519665753425","-0.726591779107143","-0.744159518909091","-0.835525127931035"
"2","-0.989718095208333","-0.989594919565217","-0.977204427777778","-0.557798151355932","-0.343187875404255","-0.597291719166667"
"20","-0.981079301617647","-0.97507615","-0.926328788356164","-0.149864146847059","-0.275591880382222","-0.455396068627451"
"24","-0.978659102222222","-0.990724530735294","-0.979995718695652","-0.556022765862069","-0.459159852363636","-0.638180352881356"
"4","-0.982698213703704","-0.9758066902","-0.964282784285714","-0.7301463685","-0.637079543555556","-0.755270457692308"
"9","-0.9528015598","-0.9663610734","-0.965287050888889","-0.599866472692308","-0.455855425238095","-0.748651255510204"
