"subject","laying","sitting","standing","walking","walking_downstairs","walking_upstairs"
"1","-0.107270949192","-0.0936793807234043","-0.0996092129056604","-0.0899975423705263","-0.0739592036271429","-0.122232768011321"
"11","-0.102297501877193","-0.0948423481320755","-0.099519355893617","-0.0918204195491525","-0.0220916265065217","-0.0645245413759259"
"14","-0.105446637019608","-0.0921614578888889","-0.100718458866667","-0.110656054802153","-0.108620377713333","-0.128266667862963"
"15","-0.102266714236111","-0.0953649067966102","-0.101358786226415","-0.0776692754648148","-0.0482532079928571","-0.144485986527083"
"16","-0.1022095722","-0.0957204520289855","-0.100107332602564","-0.110917348282353","-0.103904044543617","-0.140908293613922"
"17","-0.102049763957746","-0.094247696875","-0.101289168653846","-0.109959237927869","-0.1077700285","-0.142655397660417"
"19","-0.0956018266746988","-0.100986131452055","-0.0990467890520548","-0.0832353261384615","-0.0337429578461538","-0.1018063044"
"21","-0.0964118375066667","-0.101114775129412","-0.103199796370787","-0.0868767709153846","-0.0726461849022222","-0.144351492595745"
"22","-0.100203934722222","-0.0986493161935484","-0.0975013472380952","-0.132977562363043","-0.0901744530194444","-0.148450080695476"
"23","-0.102024922819444","-0.0967422192647059","-0.0981481050441177","-0.0578128239067797","-0.117725824412963","-0.109913094117647"
"25","-0.101646999342466","-0.0954801379692308","-0.100473697756757","-0.102377269321622","-0.127952445399655","-0.126481161061538"
"26","-0.100368640868421","-0.095984817","-0.100355997108108","-0.099411456038983","-0.0992465275036","-0.0975590199454545"
"27","-0.101147695256757","-0.0951635808","-0.0987605078625","-0.0786163508824035","-0.0515814754272727","-0.0937518711117647"
"28","-0.1045116270375","-0.0953935055833333","-0.102248409070886","-0.092974671262963","-0.0266492977565217","-0.080568055454902"
"29","-0.0995339880724638","-0.0953636995833333","-0.0988701505538462","-0.10688830318283","-0.0743986469979167","-0.130429072653061"
"3","-0.10004449883871","-0.103605889057692","-0.0994602620655738","-0.0952398165017241","-0.0778701650285714","-0.115510569491525"
"30","-0.102277358585714","-0.095270767516129","-0.0997160228220339","-0.0873839917276923","-0.0615954583870968","-0.108414261326154"
"5","-0.102114125","-0.0889747665681818","-0.0922249863035714","-0.0888408355267857","-0.110149008255319","-0.143029686361702"
"6","-0.111267284631579","-0.0936693524363636","-0.103292534210526","-0.0878891090105263","-0.0256452232354167","-0.0652024492378431"
"7","-0.105944243484615","-0.0938155625083333","-0.0901539662169811","-0.123654199751333","-0.0597273512680851","-0.0856640866647059"
"8","-0.106445008314815","-0.0923150250434783","-0.097757576","-0.135886431360417","-0.0349283489710526","-0.15544567414878"
"10","-0.100308254413793","-0.0931555026481481","-0.104753833181818","-0.122709563462264","-0.0643764005526316","-0.157212539189362"
"12","-0.0990402297166667","-0.0941023489803922","-0.0976380412377049","-0.06223893174","-0.0264668968652174","-0.0455638872076923"
"13","-0.101835573822581","-0.095919848877551","-0.0981199986666667","-0.0966598593263158","-0.0647199842553191","-0.0664817176345455"
"18","-0.0997154236307692","-0.0954723233684211","-0.0987174024657534","-0.0966435295642857","-0.0836566573181818","-0.0899953036658621"
"2","-0.101974134208333","-0.0936328412826087","-0.105562157888889","-0.0818833429152542","-0.0581038498510638","-0.0828858001333333"
"20","-0.0995033069117647","-0.0959970816060606","-0.102049132684932","-0.0679992365372549","-0.0452503065777778","-0.148389168870392"
"24","-0.102813809652778","-0.0951782658382353","-0.0991947719855072","-0.0625311679982759","-0.0914145014654545","-0.146800845605424"
"4","-0.105019877685185","-0.09694948424","-0.103057894142857","-0.115321556475","-0.0921282734666667","-0.1314720713"
"9","-0.10384667982","-0.0930708106","-0.095897704","-0.0809204094461538","-0.094591202447619","-0.0684689593355102"
