"subject","laying","sitting","standing","walking","walking_downstairs","walking_upstairs"
"1","-0.04151728689","-0.0402118124255319","-0.0440627877924528","-0.0398428709463158","-0.0439902783367347","-0.0421485884509434"
"11","-0.0412391429298246","-0.0392813049264151","-0.0395992140851064","-0.0514172549559322","-0.0520272987304348","-0.0719834687944444"
"14","-0.0372677398193922","-0.0434577295055556","-0.04500967927","-0.0438969529084746","-0.0740589810844444","-0.0207749732407407"
"15","-0.0415878968152778","-0.0396068774557627","-0.0438507492018868","-0.0552536572125926","-0.0495415503071429","-0.0365419164020833"
"16","-0.0347735325871429","-0.0450369280637681","-0.0424982241410256","-0.0433876843176471","-0.0567686629753191","-0.0296211298558824"
"17","-0.0361961143943662","-0.0411134199378125","-0.0404518753974359","-0.0379251328622951","-0.0381702367441304","-0.0414496328508333"
"19","-0.0371476597051807","-0.0425170215068493","-0.0422918533780822","-0.0307128442115385","-0.0394612603358974","-0.0346288461475"
"21","-0.0346275066055556","-0.0391483428502824","-0.0404300756516854","-0.0515650260576923","-0.07359521674","-0.0132022768074468"
"22","-0.037608730565","-0.0423409822741935","-0.0420998733444444","-0.0321910702173913","-0.0355171408083333","-0.0381312609738095"
"23","-0.0372449750569444","-0.0434602554691176","-0.0416774165735294","-0.0516704755661017","-0.0352891614740741","-0.0523943787039216"
"25","-0.0426718870280822","-0.0391651423907692","-0.0418294632148649","-0.0398986518064865","-0.0415203345874138","-0.0281452998369231"
"26","-0.0396682720394737","-0.0403070205666667","-0.0409011992972973","-0.0456538283033898","-0.037268109685","-0.0386244096705455"
"27","-0.0362186160902703","-0.0396410809285714","-0.0417471753375","-0.0476974404561403","-0.0642023574227273","-0.0509235220237255"
"28","-0.03560100499625","-0.0408007786402778","-0.0431364662518987","-0.0515394449611111","-0.0570410865136957","-0.0492552129156863"
"29","-0.0386768295072464","-0.040001843485","-0.0405110578461538","-0.0479898124113208","-0.0671482305364583","-0.0511035119816327"
"3","-0.0389771765322581","-0.0360909881807692","-0.0472415819016393","-0.0387874651724138","-0.0391567930959184","-0.0400372510491525"
"30","-0.0384875867528571","-0.0407930587264516","-0.0437759700423729","-0.0617028868769231","-0.0496807640258064","-0.0141113353615385"
"5","-0.0404446925288462","-0.0454702982386364","-0.0399108188821429","-0.0449559531089286","-0.0708296588478723","-0.0559895777393617"
"6","-0.0424104289992982","-0.0333986700025455","-0.0428828304736842","-0.0362308971842105","-0.0768089915604167","-0.0457705354509804"
"7","-0.0358897425826923","-0.0396444885","-0.0412797611886792","-0.0447766029745614","-0.0381904275744681","-0.0482219105196078"
"8","-0.0389735198722222","-0.0402673770652174","-0.0485190684259259","-0.0314880905541667","-0.0534969692794737","-0.027919577097561"
"10","-0.0388797920413793","-0.0411216540925926","-0.0371593000727273","-0.0519204981037736","-0.0489378053157895","-0.0372348522521277"
"12","-0.0410675310833333","-0.0387477474705882","-0.0409520826508197","-0.049852604592","-0.0609177195869565","-0.0335406569057692"
"13","-0.0417744000370968","-0.041036688077551","-0.0412872577807018","-0.0319849271912281","-0.0669414080765958","-0.0453051954036364"
"18","-0.0393440191846154","-0.0397125591491228","-0.0406573412739726","-0.0433771125875","-0.0509120258890909","-0.0527472610827586"
"2","-0.0358590176083333","-0.0415602029130435","-0.042241953537037","-0.0538299449067797","-0.0421470257531915","-0.0424053708458333"
"20","-0.038776298","-0.0407299244348485","-0.0432152397506849","-0.0514175758627451","-0.0577371504488889","-0.0189816250372549"
"24","-0.0382323710416667","-0.040616936","-0.0431738608","-0.0502895008551724","-0.0291766311418182","-0.0317350582050847"
"4","-0.0381230432222222","-0.041848389996","-0.0461257201357143","-0.0393474489133333","-0.0348434913444444","-0.0390508828865385"
"9","-0.027552256948","-0.046663441472","-0.0419199574333333","-0.0356283427038462","-0.0597608334619048","-0.0302797452408163"
