"subject","laying","sitting","standing","walking","walking_downstairs","walking_upstairs"
"1","-0.0740501211","-0.046702627","-0.0489505466716981","-0.0461309295021053","-0.0270461061061224","-0.0407125527654717"
"11","-0.0666957489649123","-0.0505395462396226","-0.0524732752340426","-0.0342677451","-0.0373048405934783","-0.046076149625"
"14","-0.0566171868039216","-0.0520121608148148","-0.0509036177765","-0.0388825919508475","-0.0615978795422222","-0.0137237620296296"
"15","-0.0624334556236111","-0.0524148341983051","-0.052278397190566","-0.0510976492333333","-0.0339213064857143","-0.0767242496041667"
"16","-0.0576790435142857","-0.0588371273536232","-0.0544335294410256","-0.0532986670705882","-0.0612136932929787","-0.035416300054902"
"17","-0.0604927046338028","-0.051090324421875","-0.0546331330897436","-0.0513807166754098","-0.0582518846641304","-0.0223482086545833"
"19","-0.0599161477951807","-0.0590801684246575","-0.0523769867072603","-0.0603091962115385","-0.0545565563487179","-0.0533545875525"
"21","-0.0601398663555556","-0.0526409877294118","-0.0538211740234831","-0.0621192104076923","-0.0788436473888889","-0.00694066389361702"
"22","-0.0702723568194445","-0.0517193986693548","-0.0513179245555556","-0.0569812455608696","-0.0481460161016667","-0.067457054547619"
"23","-0.0621991626111111","-0.0485561086867647","-0.0548226277867647","-0.0903002524369492","-0.0293255016148148","-0.0924998531372549"
"25","-0.0596922147205479","-0.0495595643230769","-0.0556979055540541","-0.0512696224225676","-0.0642078122381035","-0.0540452217153846"
"26","-0.0711533355789474","-0.0487627204433077","-0.0532541948283784","-0.0492240545355932","-0.05105874094","-0.0595558392545455"
"27","-0.0642797849864865","-0.0503883556285714","-0.051403918985","-0.0650247552701754","-0.0621043700545455","-0.0629013722509804"
"28","-0.05345019146375","-0.0579015362166667","-0.0525896252375949","-0.0593552479814815","-0.077617393146087","-0.0752610437019608"
"29","-0.0674469666086956","-0.047000897695","-0.0544926306307692","-0.0392368986679245","-0.0359648430270833","-0.0680938780306122"
"3","-0.06873387","-0.0590079966686538","-0.0416832156688525","-0.0503616100815517","-0.0416193131122449","-0.0498180874305085"
"30","-0.0595736770285714","-0.0488204595806452","-0.0520307176474576","-0.0446007229941538","-0.0543595229322581","-0.0364157841384615"
"5","-0.07083096875","-0.0487714733568182","-0.0422221341625","-0.0482679596035714","-0.0399656935617021","-0.0534895401"
"6","-0.0717774743859649","-0.0465504310978182","-0.0506432189438596","-0.0539597284210526","-0.0372228650416667","-0.0576800048435294"
"7","-0.0671901794615385","-0.0454566269166667","-0.0545390015471698","-0.0495713093294737","-0.0789469342553192","-0.072451747827451"
"8","-0.0694123150925926","-0.0445732240217391","-0.0478483225666667","-0.0522683965333333","-0.0867903297078947","-0.0534090382439024"
"10","-0.0590744912758621","-0.048941191502963","-0.0584162547045455","-0.0611262928849057","-0.0720413112078947","-0.036502173787234"
"12","-0.0678909002816667","-0.0515634091411765","-0.0482863736885246","-0.0467338151926","-0.0653239980021739","-0.0653167291865385"
"13","-0.0648770419677419","-0.0466121595938776","-0.053926078122807","-0.0636693233473684","-0.0512020476","-0.0661653916327273"
"18","-0.0593135986615385","-0.0523030404789474","-0.0532384453013699","-0.0502631568175","-0.0570591813909091","-0.0692536211396552"
"2","-0.0701783020833333","-0.04358509665","-0.0546539479425926","-0.0514939156830508","-0.0710229816893617","-0.0445157481625"
"20","-0.0610028293088235","-0.0465835149090909","-0.051815224739726","-0.0549273707529412","-0.061531283","-0.0518985451176471"
"24","-0.0624116966805556","-0.051596655125","-0.0517180379565217","-0.0739835516362069","-0.0412055411490909","-0.0498427228983051"
"4","-0.0712156288333333","-0.0489964351672","-0.0490753497867857","-0.0551166852766667","-0.0492836435688889","-0.0722496260807692"
"9","-0.0569490475","-0.052841489994","-0.0575743131488889","-0.0633406620592308","-0.0678080598785714","-0.0236327911183673"
