"subject","laying","sitting","standing","walking","walking_downstairs","walking_upstairs"
"1","-0.9186085208","-0.99173159212766","-0.992945106981132","-0.207421854757895","-0.487027342244898","-0.614786508490566"
"11","-0.981724838421053","-0.990501518301887","-0.986690403617021","-0.541616397118644","-0.53437494826087","-0.660431336111111"
"14","-0.970274962745098","-0.990284240185185","-0.969948875166667","-0.571759911525424","-0.537002097555556","-0.646611034444444"
"15","-0.97392395125","-0.992889042711864","-0.971514312075472","-0.283767987222222","-0.455980756428571","-0.525533949791667"
"16","-0.985835459428571","-0.98958327942029","-0.987102322692308","-0.675889722745098","-0.623676024255319","-0.707264168627451"
"17","-0.980792372112676","-0.9952559371875","-0.989257196282051","-0.431296148196721","-0.526801825217391","-0.606044344375"
"19","-0.976105663493976","-0.988464752739726","-0.97512668739726","0.0801186523134615","0.179148649684615","-0.23937641116"
"21","-0.984643717333333","-0.989472968470588","-0.971866494606742","-0.238908311384615","-0.549648320222222","-0.573541839148936"
"22","-0.972092602916667","-0.985671250322581","-0.949716028730159","-0.226656401521739","-0.264848047888889","-0.396699215238095"
"23","-0.985027850416667","-0.987084633970588","-0.972770702058824","-0.363969434576271","-0.32301569962963","-0.548318881568627"
"25","-0.957381145068493","-0.992304653846154","-0.977909693918919","-0.507957094054054","-0.430134387586207","-0.693854902307692"
"26","-0.992665154868421","-0.995882512051282","-0.978472409324324","-0.417438636101695","-0.170842676616","-0.515829417272727"
"27","-0.993503720810811","-0.993640318285714","-0.9826424495","-0.523256879298246","-0.493837613409091","-0.695774947647059"
"28","-0.9608029485","-0.982155662638889","-0.928343397721519","-0.399417082777778","-0.16394489726087","-0.494282913529412"
"29","-0.99654254057971","-0.9933220295","-0.983293061692308","-0.395909621509434","-0.347807556958333","-0.474932606326531"
"3","-0.980328645","-0.972546905961538","-0.940937642459016","-0.385922986034483","-0.285683162346939","-0.507270757966102"
"30","-0.983775833714286","-0.993868545483871","-0.960119074237288","-0.460345386153846","-0.542764507096774","-0.742749529538462"
"5","-0.983422257692308","-0.966037012045455","-0.941930044107143","-0.357681403285714","-0.411302217446809","-0.305245202489362"
"6","-0.939611608245614","-0.943714804727273","-0.946423593157895","-0.18260093354386","0.0393387960854167","-0.186763293747059"
"7","-0.9738372325","-0.974369045625","-0.96598339754717","-0.21166729682807","-0.510731018297872","-0.616812659215686"
"8","-0.969924077407407","-0.993264647391304","-0.981573085740741","-0.2460827504375","-0.267887897328947","-0.40507069195122"
"10","-0.965900578103448","-0.992326657222222","-0.950367548409091","-0.366063723207547","-0.416986139210526","-0.427291343617021"
"12","-0.9671982025","-0.977329927254902","-0.955415641803279","-0.3908072382","-0.278608163891304","-0.549999188461539"
"13","-0.981404742903226","-0.991371016938775","-0.978465124561404","-0.216812065298246","-0.463736674255319","-0.631037584"
"18","-0.996104441384615","-0.994170190701754","-0.981970965890411","-0.578133968392857","-0.676716181636364","-0.76068902862069"
"2","-0.993235849166667","-0.989709023043478","-0.979324000740741","-0.389549831525424","-0.243940592553192","-0.464854363125"
"20","-0.989283577352941","-0.977414910909091","-0.921644239863014","-0.253227445431373","-0.249235098988889","-0.471107678431373"
"24","-0.979865720555556","-0.991442007794118","-0.975856809130435","-0.490773455517241","-0.358444550225455","-0.640489537966102"
"4","-0.975103204259259","-0.9698997312","-0.949633878571429","-0.492341066833333","-0.395995494444444","-0.533666803846154"
"9","-0.945329035","-0.9645323452","-0.949105691555556","-0.526985309038462","-0.509669314047619","-0.660419534285714"
