"subject","laying","sitting","standing","walking","walking_downstairs","walking_upstairs"
"1","-0.9577901596","-0.987935806382979","-0.992108467169811","-0.404255452631579","-0.268761480242857","-0.606332002264151"
"11","-0.986549063333333","-0.981016044716981","-0.990663218510638","-0.551079942542373","-0.480559152608696","-0.777173388518518"
"14","-0.979711372941176","-0.982819138888889","-0.974687865833333","-0.497187687966102","0.0913857550044444","-0.359816626703704"
"15","-0.980112732777778","-0.987937202542373","-0.981293117924528","-0.591668608148148","-0.394542240714286","-0.657907649166667"
"16","-0.994465157714286","-0.988364321449275","-0.992698522948718","-0.571264779411765","-0.540633469361702","-0.717101021960784"
"17","-0.988221713380282","-0.9938412575","-0.992327099487179","-0.524422887377049","-0.542770646521739","-0.610586202291667"
"19","-0.986958363975904","-0.98531069","-0.983453911232877","-0.213494065344231","0.116646170221282","-0.3754149830025"
"21","-0.988749495666667","-0.987954515294118","-0.975427259325843","-0.494927657115385","-0.428337693333333","-0.564149244893617"
"22","-0.978636301805555","-0.97954410516129","-0.979753572380952","-0.234278150891304","-0.358762129444444","-0.515697758571429"
"23","-0.994908984861111","-0.988130142058824","-0.984654516470588","-0.374456768135593","-0.36786963962963","-0.543765425882353"
"25","-0.974242254520548","-0.991491387846154","-0.980722294459459","-0.659576163108108","-0.599481997931035","-0.746268282923077"
"26","-0.993759841842105","-0.991929788974359","-0.985992503243243","-0.485543001525424","-0.3589516378","-0.556390218"
"27","-0.993296720540541","-0.991766787571429","-0.9889703575","-0.426346962631579","-0.307268262272727","-0.676876469411765"
"28","-0.981418916","-0.971001691388889","-0.956497163670886","-0.440927899259259","-0.336212734130435","-0.603568264117647"
"29","-0.995380794637681","-0.9928337675","-0.990685705384615","-0.504130088679245","-0.379769406458333","-0.558417024081633"
"3","-0.983338279516129","-0.973751670576923","-0.958293011803279","-0.536664080344828","-0.374605412306122","-0.573433947627119"
"30","-0.980768874571429","-0.988124495645161","-0.970845670677966","-0.476208796153846","-0.498882854032258","-0.665150619230769"
"5","-0.989679592307692","-0.964878512727273","-0.944755343035714","-0.157682543983929","-0.0344217467042553","-0.282154378489362"
"6","-0.959579071578947","-0.958787671272727","-0.962758177192982","-0.166684422233333","0.193206498960417","-0.170814790834118"
"7","-0.988871878269231","-0.980954665416667","-0.978166790943396","-0.458302971403509","-0.425200371553192","-0.682184175686275"
"8","-0.987601203703704","-0.985241405434783","-0.989270900740741","-0.388446971666667","-0.1896044435","-0.430366658780488"
"10","-0.983949302758621","-0.990259813148148","-0.969051030681818","-0.329079492641509","-0.227137389605263","-0.482244799361702"
"12","-0.969953929666667","-0.977138953921569","-0.973689389672131","-0.4806421996","-0.365232197456522","-0.606412096538462"
"13","-0.989801549193548","-0.989861382040816","-0.985177042982456","-0.341765824491228","-0.367089485595745","-0.550880346909091"
"18","-0.992548101846154","-0.992814325087719","-0.986259015753425","-0.663259579285714","-0.605655411090909","-0.718951757931034"
"2","-0.98803582125","-0.985542325652174","-0.973610118333333","-0.435492677288136","-0.218266318606383","-0.467595961041667"
"20","-0.986670534411765","-0.979742084090909","-0.948669854794521","-0.22704432732549","0.00307854550222222","-0.253867089670588"
"24","-0.992381595972222","-0.989850160294118","-0.983276883478261","-0.557968202931034","-0.478690941272727","-0.648975330847458"
"4","-0.983965359814815","-0.9688048316","-0.957982019464286","-0.640454132833333","-0.325780073711111","-0.556236584807692"
"9","-0.9770761602","-0.9687388914","-0.969726483555556","-0.457881494038462","-0.417239550952381","-0.65711420122449"
