"subject","laying","sitting","standing","walking","walking_downstairs","walking_upstairs"
"1","-0.874759548","-0.93089249","-0.976493792830189","-0.160979552536842","-0.0757412543673469","-0.126735589969811"
"11","-0.952523752105263","-0.951884472075472","-0.979978011489362","-0.421801673559322","-0.19788336026087","-0.255048336944444"
"14","-0.904665418431373","-0.942756369259259","-0.943530016833333","-0.137208741864407","0.166340011842444","0.365779419444444"
"15","-0.944605127222222","-0.957331628305085","-0.946961381132076","-0.243711124444444","-0.121686320740476","-0.201217274"
"16","-0.951777099571429","-0.946417382463768","-0.972528178205128","-0.485931932745098","-0.309820427234043","-0.308260568039216"
"17","-0.960733121690141","-0.967177744375","-0.978184576538462","-0.335009836885246","-0.232641763307609","-0.235191249091667"
"19","-0.953263432771084","-0.942229043835616","-0.94174504109589","0.100045071430769","0.418004608615385","-0.06161577145"
"21","-0.949278890222222","-0.964971113764706","-0.949837151797753","-0.284775644807692","-0.184850019535556","-0.168982721146809"
"22","-0.926616373333333","-0.942077432741935","-0.931624303968254","-0.210608043717391","-0.161333309783333","-0.1280319236"
"23","-0.949418000972222","-0.936593426911765","-0.938430293382353","-0.0120968259523729","0.0390915481555556","-0.156527148792745"
"25","-0.809688545342466","-0.966568718615385","-0.967077442837838","-0.394362401351351","-0.216082565601724","-0.3186346998"
"26","-0.951863594736842","-0.954052945897436","-0.968673955540541","-0.392092024067797","-0.23531462282","-0.344427047636364"
"27","-0.966917594459459","-0.963565474","-0.968702956625","-0.396638753684211","-0.164783206536364","-0.286145719598039"
"28","-0.93710692125","-0.955175567083333","-0.894242469620253","-0.310775945814815","-0.068246324026087","-0.263415282690196"
"29","-0.971923623043478","-0.962377332166667","-0.980657340461539","-0.28057326754717","-0.122968108816667","0.0439627677608163"
"3","-0.951564751451613","-0.919354372307692","-0.892089349344262","-0.466411754137931","-0.215294501244898","-0.347321812220339"
"30","-0.962284921142857","-0.955847323870968","-0.913890564915254","-0.0229640797463077","-0.095537320533871","-0.113608367276923"
"5","-0.946938300576923","-0.934301646590909","-0.900671630714286","-0.355933083571429","-0.218029835319149","-0.235516929306383"
"6","-0.908980174736842","-0.932703812181818","-0.939404744385965","-0.281207841122807","0.0142677821595833","-0.12912124415098"
"7","-0.915793634807692","-0.897870535","-0.943425564528302","-0.305959351403509","-0.18874081887234","-0.239099165627451"
"8","-0.924253348518518","-0.93268224326087","-0.952848496851852","-0.00310243820125","0.0993429744078947","0.166447991"
"10","-0.937590998793103","-0.944202043703704","-0.929787259772727","-0.156458730358491","-0.0238468037578947","0.0438573846851064"
"12","-0.9308405935","-0.941907240784314","-0.888101372786885","-0.35593036512","-0.213351510686957","-0.316561585961538"
"13","-0.944303111935484","-0.951142644081633","-0.95782537245614","-0.218669558421053","-0.102114480531915","-0.237182958116364"
"18","-0.980740846769231","-0.977634992105263","-0.963006793150685","-0.500471147857143","-0.381022814727273","-0.3691086"
"2","-0.950011569583333","-0.946035087173913","-0.963466341851852","-0.446549092881356","-0.162188586930426","-0.219713472958333"
"20","-0.9604473725","-0.939574435606061","-0.883675028630137","0.0686275147882353","0.0938419436933333","0.0223302538235294"
"24","-0.953791512638889","-0.964633252352941","-0.954518594057971","-0.403064156896552","-0.304965806363636","-0.33443583979661"
"4","-0.930236462592593","-0.9260633138","-0.900982100535714","-0.49779220106","-0.3466062928","-0.299779407884615"
"9","-0.9071250998","-0.9032355368","-0.921030223111111","-0.294542266826923","-0.168921400633333","-0.0833234490061224"
