"subject","laying","sitting","standing","walking","walking_downstairs","walking_upstairs"
"1","-0.016553093978","-0.045350056512766","-0.0239877347979245","-0.041830963526","-0.0350781902989796","0.050549379754717"
"11","-0.0191743840136842","-0.0399984915849057","-0.0293141521489362","-0.0426928995457627","-0.12506869905","-0.0820909701727778"
"14","0.00505221181607843","-0.0440403326851852","-0.0220886526891667","-0.00347655062271186","-0.0147079653333333","0.0813841685037037"
"15","-0.0168300887791667","-0.0377111130338983","-0.0262433562254717","-0.0554883847662963","-0.136618653071429","0.0903340029875"
"16","-0.0161545406857143","-0.0412014042275362","-0.0299337294166667","-0.0151721912792157","-0.0225373369978723","0.0718408878078431"
"17","-0.0234756467113239","-0.042549159015625","-0.0269576937130769","-0.00922265519180328","0.0677728390673913","-0.0304250571395833"
"19","-0.0312072730559566","-0.0214151280054795","-0.025090574020274","-0.0274970979894231","-0.205775427307692","0.0388537087875"
"21","-0.0305126188777778","-0.0198712820612471","-0.0191731896359551","-0.0459323393842308","-0.126388023595556","0.062608688893617"
"22","-0.0208311371125","-0.0360430675032258","-0.0275201762126984","0.0007771571","-0.0779611213138889","0.13497880785381"
"23","-0.0113399724663889","-0.0472583464367647","-0.0327397745133823","-0.0631156870355932","-0.0578230190203704","0.0957940245941176"
"25","0.00372723459589041","-0.0352052091230769","-0.0247946750959459","-0.0156305378067568","0.00299112856551724","0.0556121923307692"
"26","-0.0170656239526316","-0.0370217449628205","-0.0245345837959459","-0.00334085938813559","-0.010752208236","-0.0247950825654545"
"27","-0.0195427328781081","-0.0371830822285714","-0.026731653905","-0.08558835714","-0.159826551905227","-0.0940344886803922"
"28","-0.017367705735","-0.0339018030166667","-0.0253281543540506","-0.105896207861111","-0.141096309502174","-0.129362970764706"
"29","-0.0258281004782609","-0.0379271112333333","-0.0276075573307692","-0.00795668167188679","-0.0374126070957292","0.0931989463020408"
"3","-0.0208170540330645","-0.0385365204807692","-0.0246626070770492","-0.0256405192517241","-0.13157327645102","0.0721980309322034"
"30","-0.0267812218571429","-0.0358426482048387","-0.027613853538983","-0.0459505355861538","-0.0745591301759677","-0.00355974576923077"
"5","-0.0218935013501923","-0.0422355209795455","-0.0322711902673214","-0.0488919896632143","-0.068294569906383","0.0395191121489362"
"6","-0.0079605026754386","-0.0372442282830909","-0.028251913022807","-0.025509618645614","-0.0960837437708333","-0.0767406825588235"
"7","-0.00282641913096154","-0.04963797197125","-0.0291582212545283","0.00228835208526316","-0.105409612961702","-0.138778108029412"
"8","0.00535361206851852","-0.0547396987173913","-0.0219671978203704","0.0235088228254167","-0.121189625973684","0.19270447595122"
"10","-0.019555937162069","-0.0432432176851852","-0.0281854325604545","0.0106894976215094","-0.124839594289474","0.0733447168425532"
"12","-0.0146546807316667","-0.0424159182941176","-0.0300030427426229","-0.1045136708758","-0.112531564434783","-0.0931234101769231"
"13","-0.00973609968045161","-0.0355124856836735","-0.0295492164431579","-0.0174207634701754","-0.122672201757447","-0.13829376226"
"18","-0.02517618068","-0.0333057034385965","-0.0265873248835616","-0.0399399716026786","-0.0576548655654545","-0.0470683915017241"
"2","-0.01847660675","-0.0454706620434783","-0.0238623875712963","-0.0530258157347458","-0.11594735287234","-0.0576912634583333"
"20","-0.0231760616308824","-0.036405928969697","-0.0241335049573973","-0.0234104225980392","-0.111367747557778","0.0659193258862745"
"24","-0.0143679929444444","-0.0356229619955882","-0.0278611511434783","-0.0545126870724138","-0.0867069010690909","0.0883163772152542"
"4","-0.00923156347222222","-0.04944351156","-0.0306449342357143","-0.0317982557795","-0.102838822533333","0.0393825198942308"
"9","-0.013632036148","-0.042328876778","-0.029183136346","-0.0808360598653846","-0.0916383011071429","-0.16396719"
