"subject","laying","sitting","standing","walking","walking_downstairs","walking_upstairs"
"1","-0.064486124088","-0.0919241549361702","-0.0593972209811321","-0.0695300462115789","-0.0909371290204082","-0.166170015088679"
"11","-0.041559989822807","-0.0755284478679245","-0.0765465041914894","-0.0705104974254237","-0.0262775345369565","-0.0566928808703704"
"14","-0.153423807745098","-0.0713478280925926","-0.05581088271","-0.0829682847966102","-0.0945288409066667","-0.123499570044444"
"15","-0.0619700871944444","-0.0803428762830509","-0.0659637517169811","-0.06124278833","-0.0346755727619048","-0.154721289270833"
"16","-0.113675060885714","-0.0574525433043478","-0.068667733","-0.0695955689607843","-0.068264792706383","-0.0486136789705882"
"17","-0.0944580192535211","-0.0669245931234375","-0.0770632126371795","-0.0839773343770492","-0.123517195928261","-0.0548455941370417"
"19","-0.0952628014096386","-0.0520207886438356","-0.0631429827260274","-0.0751569333730769","0.0274707556666667","-0.134514320575"
"21","-0.113800486377778","-0.0653077503317647","-0.0738115865407865","-0.0590294439942308","0.0162145300888889","-0.155622431382979"
"22","-0.09257231175","-0.0793617444354839","-0.0690067688269841","-0.0960880731804348","-0.0697154455833333","-0.181458414495238"
"23","-0.105052917","-0.0684325551029412","-0.0652264793213235","-0.0640197920966102","-0.0853077464277778","-0.111564389137255"
"25","-0.0716401726150685","-0.0748002714615385","-0.0698876853378378","-0.0820768065347297","-0.101115076366897","-0.109437658104615"
"26","-0.0903229228815789","-0.0840648503320513","-0.0731385762635135","-0.0841507651508475","-0.1003822042168","-0.0657601804418182"
"27","-0.0957839566891892","-0.0797345645214286","-0.067507120075","-0.0365348163649123","-0.0163131590545455","0.00212499391686275"
"28","-0.097448733725","-0.0673943850555556","-0.0739001646962025","-0.0172822168012963","0.00710564286763044","0.0212250958019608"
"29","-0.0761814357028986","-0.0755797672133333","-0.0721060679123077","-0.081960153154717","-0.0851045889895833","-0.152328112210204"
"3","-0.0718507159435484","-0.07524100275","-0.0585101918262295","-0.0779150937413793","-0.0139358043959184","-0.139275405637288"
"30","-0.0761476351714286","-0.074353558416129","-0.0670334379830509","-0.0649170927338462","-0.0693112411951613","-0.0779606464676923"
"5","-0.0798709596153846","-0.0835484079545455","-0.050987505","-0.0690135249642857","-0.0707805998787234","-0.117195551802128"
"6","-0.107218315054386","-0.0899083302550909","-0.0589823639438597","-0.0744462466","-0.0341782208604167","-0.0518981989072549"
"7","-0.133605695057692","-0.03361196465625","-0.0774336443396226","-0.0837113724842105","-0.049717460606383","-0.00247161973"
"8","-0.0891374138592593","-0.0955089236521739","-0.0280117633814815","-0.095791790535","-0.0500760173342105","-0.204205356087805"
"10","-0.0770325657265517","-0.0679993598888889","-0.0876820486363636","-0.0819540783760943","-0.106742538831579","-0.0954600216446809"
"12","-0.0835537350333333","-0.0751980398235294","-0.0700083750360656","-0.03442910782","-0.0427336692521739","-0.0411314519307692"
"13","-0.0966250701451613","-0.0902687401836735","-0.0753205243684211","-0.0798472502663158","-0.0237205719148936","0.00381966911090909"
"18","-0.0837587308153846","-0.0685796341105263","-0.0732260127945206","-0.0613727362975","-0.0636214336761818","-0.0526133819862069"
"2","-0.111800824583333","-0.0599286797043478","-0.0820396577592593","-0.0482382316949153","-0.00482329231914894","-0.0320883097395833"
"20","-0.0954899626029412","-0.0650689347121212","-0.0698308923617808","-0.074105054612549","0.0139023395111111","-0.174650964745098"
"24","-0.0955538053611111","-0.0750132697044118","-0.0692546674492754","-0.0658435879913793","-0.0542300245127273","-0.105932947294915"
"4","-0.0930128180759259","-0.08943006108","-0.061824850625","-0.0726905278583333","-0.0704025952333333","-0.0859471683596154"
"9","-0.15890291983","-0.04142711812","-0.060810158296","-0.0625598710615385","-0.0712598843142857","-0.0412587909579592"
