"subject","laying","sitting","standing","walking","walking_downstairs","walking_upstairs"
"1","-0.87354386782","-0.977211283191489","-0.987191946603774","-0.473535485894737","-0.458030542938775","-0.544871104528302"
"11","-0.980836884561403","-0.988164911509434","-0.980242494680851","-0.596346930847458","-0.374069023580435","-0.501331630185185"
"14","-0.957221015098039","-0.980829981481481","-0.9610917615","-0.60038822220339","-0.354551638377778","-0.454283337592593"
"15","-0.957167680694444","-0.988204115254237","-0.947790802075472","-0.329624620185185","-0.318692525928571","-0.415251317916667"
"16","-0.977010769857143","-0.981037373333333","-0.973400107564103","-0.654171847058823","-0.45418847106383","-0.508087166666667"
"17","-0.975893061830986","-0.98963832578125","-0.981373082948718","-0.47981351295082","-0.370436868891304","-0.496562732729167"
"19","-0.981357611445783","-0.984625306849315","-0.946109711917808","-0.0264357957923077","0.267657219333333","-0.4068000325"
"21","-0.975411857555556","-0.988410501294118","-0.962514526067416","-0.432232883846154","-0.442148617666667","-0.53190941893617"
"22","-0.956641905833333","-0.981099172419355","-0.917837043333333","-0.318537865869565","-0.237349190997222","-0.301491709628571"
"23","-0.981849400972222","-0.980363734264706","-0.942011240294118","-0.494322648644068","-0.416133032777778","-0.550664576666667"
"25","-0.889769639726027","-0.989907584153846","-0.971357421216216","-0.401158753783784","-0.288824754586207","-0.489011794784615"
"26","-0.990328197763158","-0.991027700512821","-0.973785111216216","-0.492885711355932","-0.33131291446","-0.550274396"
"27","-0.988837212162162","-0.988492425142857","-0.9699020075","-0.606860248596491","-0.363722908386364","-0.562461004705882"
"28","-0.95516227975","-0.979671983472222","-0.884032232405063","-0.503798624074074","-0.268106330991304","-0.518818227843137"
"29","-0.994276591304348","-0.990178704833333","-0.977994819846154","-0.598868670943396","-0.282077257508333","-0.323904731622449"
"3","-0.974545752096774","-0.965434768461538","-0.900462227540984","-0.571869560172414","-0.261653414014286","-0.456039262525424"
"30","-0.973662822428571","-0.988132669516129","-0.911408517966102","-0.387920593846154","-0.265923160895161","-0.493837520761538"
"5","-0.979498706538461","-0.966225485","-0.910395222321429","-0.490877497857143","-0.46064684487234","-0.443342262340426"
"6","-0.955378225087719","-0.957367681818182","-0.947561298596491","-0.446020952631579","-0.19830385328125","-0.321973723647059"
"7","-0.9601268225","-0.941870953333333","-0.945247687358491","-0.503313517017544","-0.407744096","-0.363853236862745"
"8","-0.965204017592593","-0.984524052826087","-0.972990379814815","-0.1992097184375","-0.258430885531579","-0.367428367219512"
"10","-0.961713199827586","-0.988873097222222","-0.929895057954545","-0.414205475283019","-0.304745377026316","-0.308534708121277"
"12","-0.966090742","-0.974425351960784","-0.883655251803279","-0.5462634706","-0.362143061643478","-0.526659296134615"
"13","-0.972143470322581","-0.985844263265306","-0.955577395789474","-0.376059914210526","-0.417014161553191","-0.541066687090909"
"18","-0.992872598","-0.991956958947368","-0.962254249589041","-0.7044397775","-0.502473033509091","-0.593841504137931"
"2","-0.988275232916667","-0.985742027826087","-0.972998629814815","-0.561550255762712","-0.320789230008511","-0.439253058958333"
"20","-0.984477414264706","-0.976309017121212","-0.886749172739726","-0.23294061427451","-0.204939567711111","-0.492701193921569"
"24","-0.982651720138889","-0.988111648676471","-0.960738660289855","-0.580597373275862","-0.431919067945455","-0.577426408813559"
"4","-0.973102422222222","-0.9701317904","-0.909687974464286","-0.500916659","-0.370244695288889","-0.454431043269231"
"9","-0.9422465098","-0.9590200492","-0.921990612","-0.476163506730769","-0.396429197952381","-0.343976630734694"
