"subject","laying","sitting","standing","walking","walking_downstairs","walking_upstairs"
"1","-0.9082846626","-0.941425920851064","-0.980645626981132","-0.344266629473684","-0.124702454242857","-0.50716867490566"
"11","-0.959897432807018","-0.95284431245283","-0.980636664893617","-0.434178202542373","-0.318959594782609","-0.694658851666667"
"14","-0.952296965294118","-0.952904383518518","-0.946589134666667","-0.12609080020339","0.356198597177778","0.564875818162963"
"15","-0.956537051666667","-0.963765802881356","-0.968167046415094","-0.48653265537037","-0.250648085714286","-0.477365945208333"
"16","-0.984781484857143","-0.960287831304348","-0.982357006410256","-0.365489530588235","-0.444636334893617","-0.365025170078431"
"17","-0.976200771267606","-0.9797052259375","-0.985538363333333","-0.386044435409836","-0.468462984347826","-0.234402350714583"
"19","-0.973197523855422","-0.96559497630137","-0.960734258356164","-0.104202986482692","-0.0314083457948718","-0.110117174875"
"21","-0.981345430888889","-0.976972658588235","-0.959327022022472","-0.311875599423077","-0.349759493777778","0.0517155421740426"
"22","-0.933251870694444","-0.946501417741936","-0.96058251031746","-0.151439515130435","-0.280417950555556","-0.157758060642857"
"23","-0.983920132638889","-0.9597186325","-0.962389689411765","-0.209634887972881","-0.208702488240741","-0.0317301153392157"
"25","-0.91092799","-0.972637558615385","-0.971814139189189","-0.562775245405405","-0.443780454482759","-0.564195608923077"
"26","-0.969302237763158","-0.966441338076923","-0.974891360675676","-0.354549059491525","-0.3320502392","-0.3090880546"
"27","-0.97837499972973","-0.975713310142857","-0.981281807","-0.250120409298246","-0.257846157386364","-0.169960785215686"
"28","-0.96237491175","-0.9566328025","-0.925491442911392","-0.242601384618519","-0.307025006304348","-0.189306812833333"
"29","-0.97499461942029","-0.971227991666667","-0.983368643230769","-0.430232441132075","-0.311122615416667","-0.37481514122449"
"3","-0.963505609032258","-0.926413710384615","-0.91236408147541","-0.476696411551724","-0.44230776755102","-0.492327305084746"
"30","-0.968889156142857","-0.955053200806452","-0.93083468440678","-0.182569652430769","-0.29537036283871","-0.211573579892308"
"5","-0.960583776923077","-0.940637937045455","-0.907471555714286","-0.318700615178571","-0.227869042382979","-0.26545133312766"
"6","-0.939141878596491","-0.939681350909091","-0.947782155964912","-0.383139334736842","-0.0940797929729167","-0.18390018167451"
"7","-0.955294890576923","-0.937021208541667","-0.951630777358491","-0.396013535263158","-0.401051415531915","-0.348980051411765"
"8","-0.96758975462963","-0.959623548478261","-0.974118322407407","-0.0754447842395833","-0.129565242710526","0.337526477436585"
"10","-0.971940597413793","-0.960445962037037","-0.953681099545455","-0.174524868603774","-0.0353021837","-0.320509332297872"
"12","-0.950157442166667","-0.951552533137255","-0.950364757540984","-0.35017028664","-0.337806681456522","-0.349614606153846"
"13","-0.967350513709677","-0.966896414285714","-0.973436596140351","-0.363369948070175","-0.322774082765957","-0.211805111745455"
"18","-0.985108386307692","-0.981525495438596","-0.972820402739726","-0.511417204821429","-0.483658260727273","-0.433922212068966"
"2","-0.960306560416667","-0.959803708695652","-0.964856701851852","-0.481085535084746","-0.279418388042553","-0.163995791679167"
"20","-0.972409893529412","-0.945771803484848","-0.907343324657534","-0.165748467372549","0.159723529622222","0.184119332796078"
"24","-0.98170136125","-0.971277654117647","-0.969958678115942","-0.396154003275862","-0.491077244909091","-0.27459628379661"
"4","-0.962073755","-0.9279722294","-0.909995038571429","-0.662608226","-0.498480800444444","-0.360811047884615"
"9","-0.9615953704","-0.9301768338","-0.939889737333333","-0.265683521346154","-0.279685150191905","-0.138176481058776"
