"subject","laying","sitting","standing","walking","walking_downstairs","walking_upstairs"
"1","-0.79514486386","-0.927078418723404","-0.981942928867925","-0.219688645631579","0.0198843506265306","-0.324970929245283"
"11","-0.972891829473684","-0.944581826415094","-0.98030536893617","-0.487735915084746","0.0507743652521739","-0.289592148148148"
"14","-0.856593119215686","-0.92549582962963","-0.936735577166667","-0.36380562779661","0.428405922622222","-0.0197686685018519"
"15","-0.943314107916667","-0.93797790559322","-0.948600432641509","-0.323878324074074","0.353204008095238","-0.136552217494583"
"16","-0.957895927714286","-0.941051236086957","-0.95729449448718","-0.47180926745098","0.119183740638298","-0.334795080196078"
"17","-0.948257993521127","-0.96506519109375","-0.975377309871795","-0.461837866885246","0.0914076757326087","-0.1028777303875"
"19","-0.963193489036145","-0.951755657260274","-0.962549342465753","-0.0993927171359615","0.413472376589744","-0.177666828025"
"21","-0.942186431444444","-0.971994251294118","-0.956919898202247","-0.299709752173077","0.264341903711111","-0.278474283829787"
"22","-0.909407761152778","-0.924336184035484","-0.939866315079365","-0.161591787478261","0.133267478527222","-0.158757474833333"
"23","-0.957871990555555","-0.924963263235294","-0.9516698575","-0.209989354570847","0.230363964351852","-0.271893714117647"
"25","-0.649254767945205","-0.960003414461538","-0.968075629324324","-0.565601466081081","-0.259465249913793","-0.480006649846154"
"26","-0.964355190394737","-0.933602783410256","-0.962697299189189","-0.421848313898305","0.14700167906","-0.1507071068"
"27","-0.978920176216216","-0.969526674714286","-0.9663601145","-0.407355787017544","0.121176277863636","-0.37994878627451"
"28","-0.9545740295","-0.947782703333333","-0.917658334177215","-0.39269402","0.135465563932609","-0.211928666470588"
"29","-0.981572147681159","-0.9692903165","-0.981745712923077","-0.262695063584906","0.1344811501875","-0.0414696051693878"
"3","-0.964218176451613","-0.8703017","-0.915143303606557","-0.328428936551724","-0.0411340078469388","-0.333597432542373"
"30","-0.960167907285714","-0.942901466612903","-0.916570441355932","-0.359873411538462","-0.0135771208822581","-0.327410815861538"
"5","-0.958612786346154","-0.920939027727273","-0.87977380125","-0.377178733392857","0.205422375957447","-0.136736383765957"
"6","-0.897326245964912","-0.931572655636364","-0.939310249649123","-0.266734167368421","0.373611914166667","-0.0791508842176471"
"7","-0.907039513153846","-0.881957619770833","-0.933590156792453","-0.198554708385965","0.214544028088723","-0.33474460745098"
"8","-0.91325033","-0.929943615630435","-0.937187185222222","-0.1804072826","0.131337867236842","-0.227200254219512"
"10","-0.940301654482759","-0.939669591481481","-0.937264537954545","-0.185602396067925","0.156998205421053","-0.211537480214383"
"12","-0.936542686833333","-0.947517100196078","-0.935232945245902","-0.23697286882","0.0972608274652174","-0.285844036153846"
"13","-0.947944746612903","-0.937935738571429","-0.968519673859649","-0.292546377017544","-0.0156098198829787","-0.326339622181818"
"18","-0.986464542615385","-0.981595285964912","-0.972285545479452","-0.460346465357143","-0.229934247036364","-0.37184157"
"2","-0.972873912916667","-0.953081444130435","-0.957874965","-0.422544169322034","0.215586334889362","-0.205977045295833"
"20","-0.939489444558824","-0.937764028181818","-0.910672094794521","-0.156930391921569","0.172636361444444","-0.198269718823529"
"24","-0.969354834166667","-0.963779683235294","-0.94790101173913","-0.48106401862069","-0.0224839122854545","-0.30685447"
"4","-0.931292216611111","-0.9144078448","-0.890976683392857","-0.527679103166667","-0.0819559041111111","-0.212012300480769"
"9","-0.91512680016","-0.8637564342","-0.936105010444444","-0.37942877","0.265120131365238","-0.400222037142857"
