"subject","laying","sitting","standing","walking","walking_downstairs","walking_upstairs"
"1","-0.8968300184","-0.968457145744681","-0.99376298509434","-0.976609642526316","-0.950559811632653","-0.956367027924528"
"11","-0.97956560245614","-0.988069341132075","-0.994529398085106","-0.98110101440678","-0.954497498695652","-0.953463105740741"
"14","-0.862136937254902","-0.976280399444444","-0.972005366333333","-0.974816884237288","-0.919098794","-0.928523640925926"
"15","-0.961509742916667","-0.982620883728814","-0.988432084716981","-0.978397287962963","-0.942806478333333","-0.952562395625"
"16","-0.963761977857143","-0.980158243333333","-0.985359689871795","-0.982469595490196","-0.957785118085106","-0.948413552745098"
"17","-0.961063222394366","-0.99019661703125","-0.985751365769231","-0.980983351639344","-0.950026242173913","-0.949460372291667"
"19","-0.958959611084337","-0.969355010136986","-0.992411542465753","-0.9698614625","-0.899726139487179","-0.916495992"
"21","-0.945905270555556","-0.992936404470588","-0.982906668876405","-0.969576355384615","-0.940194827777778","-0.940911635531915"
"22","-0.928781249027778","-0.972009988709677","-0.992827298253968","-0.969643448043478","-0.941242334722222","-0.94063384047619"
"23","-0.947948758194444","-0.984536722205882","-0.984610385","-0.977230903898305","-0.950790837407407","-0.933344481568627"
"25","-0.829554947808219","-0.988879980615385","-0.993148267702703","-0.979499263243243","-0.964470066724138","-0.950878450307692"
"26","-0.944472488552632","-0.965082925641026","-0.992678782162162","-0.980055651016949","-0.9627219918","-0.962011392181818"
"27","-0.971183862702703","-0.982445738","-0.994012162875","-0.979866136842105","-0.946975165","-0.956433874705882"
"28","-0.970599089375","-0.989132499583333","-0.990059426582279","-0.976693902592593","-0.956921542391304","-0.944697800196078"
"29","-0.972939889855073","-0.984679151833333","-0.996764227384615","-0.978253538867925","-0.9417361925","-0.954189013061225"
"3","-0.982512193064516","-0.957324457884615","-0.982020428032787","-0.97777159137931","-0.950061129591837","-0.944040819322034"
"30","-0.979563942714286","-0.978364712258065","-0.996420919152542","-0.979752466923077","-0.958890388709677","-0.954033624307692"
"5","-0.945695336153846","-0.983137541590909","-0.974088206071429","-0.979348381428571","-0.950490938510638","-0.95357996893617"
"6","-0.887746310350877","-0.988872369272727","-0.985583066842105","-0.977779896491228","-0.9544062675","-0.959399425098039"
"7","-0.914221270096154","-0.957082433333333","-0.987917503962264","-0.979851271403509","-0.964875962978723","-0.932823053333333"
"8","-0.918873192333333","-0.966757967173913","-0.987690217222222","-0.974752050208333","-0.945766561578947","-0.926673287804878"
"10","-0.954531941896552","-0.973128354074074","-0.991259485","-0.974435158113208","-0.939267613157895","-0.959216072340425"
"12","-0.936458309333333","-0.985203642352941","-0.985314210491803","-0.97911312","-0.959504017391304","-0.960246289807692"
"13","-0.957875244677419","-0.981379112653061","-0.992232401754386","-0.97254492245614","-0.952643084042553","-0.946441502363636"
"18","-0.982715987538462","-0.994043771403509","-0.994270075205479","-0.983010882678571","-0.960404874545455","-0.961738807068966"
"2","-0.959014441458333","-0.979988760869565","-0.986685818703704","-0.972693201355932","-0.940361759574468","-0.934407739791667"
"20","-0.928674215147059","-0.985829034393939","-0.981916942054795","-0.970327266470588","-0.940458075111111","-0.931405014313725"
"24","-0.960412164305556","-0.989660149852941","-0.992197591884058","-0.983132400344828","-0.961845327454545","-0.962190567457627"
"4","-0.921199965925926","-0.9814052948","-0.972908355892857","-0.983826494833333","-0.955258881333333","-0.958495235576923"
"9","-0.9218210626","-0.9552804062","-0.989103160444444","-0.980971973653846","-0.952141220714286","-0.954383557142857"
