"subject","laying","sitting","standing","walking","walking_downstairs","walking_upstairs"
"1","-0.90772000676","-0.935517055957447","-0.981225957924528","-0.971305961473684","-0.937018658979592","-0.952849233207547"
"11","-0.990765579649123","-0.949792572075472","-0.981047828723404","-0.966240553559322","-0.926310469565217","-0.924360832962963"
"14","-0.94877486372549","-0.95032266362963","-0.965781048333333","-0.954455935762712","-0.920725940666667","-0.907231431296296"
"15","-0.986036192361111","-0.943561411694915","-0.965687978301887","-0.971056501481481","-0.925685893571429","-0.927648821458333"
"16","-0.966087103857143","-0.968023206956522","-0.980552435769231","-0.973784841960784","-0.955487793617021","-0.933657461176471"
"17","-0.961466681267606","-0.9667201059375","-0.975810476025641","-0.968613202622951","-0.946576675652174","-0.91597346625"
"19","-0.986993149638554","-0.96996981369863","-0.971426607808219","-0.958651200384615","-0.917880864102564","-0.9010448505"
"21","-0.983732936111111","-0.979355363176471","-0.977681415955056","-0.964144520576923","-0.940111830666667","-0.941523624255319"
"22","-0.958826938556944","-0.954225015274194","-0.971080742857143","-0.963639340217391","-0.945824352777778","-0.941620221904762"
"23","-0.982794562916667","-0.960917426323529","-0.984818648823529","-0.966550706949153","-0.93901254962963","-0.910474557058824"
"25","-0.643578361424658","-0.963415016923077","-0.980642970675676","-0.965093441081081","-0.937816011034483","-0.931758272769231"
"26","-0.987887995263158","-0.949286700807692","-0.966986433783784","-0.969040314237288","-0.9354258554","-0.937858157818182"
"27","-0.993701742972973","-0.982553336571429","-0.97964105225","-0.973792999824561","-0.934963993181818","-0.947713378627451"
"28","-0.9697590285","-0.971766352361111","-0.962801441898734","-0.968780859814815","-0.948404212173913","-0.927641087843137"
"29","-0.99424764884058","-0.973604289833333","-0.985134032307692","-0.975272848113208","-0.91390306375","-0.923007798367347"
"3","-0.981202749677419","-0.903923008269231","-0.957425321803279","-0.962355639482759","-0.946094637755102","-0.909825953898305"
"30","-0.988930714857143","-0.959361306774194","-0.95814576338983","-0.970176562153846","-0.918678752419355","-0.914933936"
"5","-0.985964053846154","-0.939942979795454","-0.931973943392857","-0.961585474821429","-0.912363420851064","-0.900511719787234"
"6","-0.959161956491228","-0.960875994727273","-0.96844910122807","-0.964248568070175","-0.93357760125","-0.912900683137255"
"7","-0.955543549230769","-0.945436264583333","-0.966162998679245","-0.969404155087719","-0.952678693617021","-0.939774255490196"
"8","-0.957990036481482","-0.937462301369565","-0.958904114074074","-0.956781505625","-0.941580934473684","-0.931032068536585"
"10","-0.966701156034483","-0.935690006481481","-0.975410724090909","-0.971114719811321","-0.937003823684211","-0.937039417446809"
"12","-0.974396492666667","-0.963641979215686","-0.970482614590164","-0.9646191738","-0.94329842826087","-0.941378352307692"
"13","-0.975948136290323","-0.951353064693878","-0.974681225789474","-0.960899845614035","-0.92854437106383","-0.922054968727273"
"18","-0.994093522615385","-0.984035479473684","-0.981335941917808","-0.975311658928571","-0.932962218181818","-0.942056881206897"
"2","-0.988211865208333","-0.956750273043478","-0.97419442037037","-0.972116879661017","-0.940068525531915","-0.92376745375"
"20","-0.976018476911765","-0.966983534242424","-0.957462721369863","-0.962003383529412","-0.908577153777778","-0.92459435372549"
"24","-0.993454358055556","-0.971692544705882","-0.968155388695652","-0.962578844310345","-0.941478979454546","-0.916690779830509"
"4","-0.969816635740741","-0.93272710386","-0.917613464821429","-0.967963221","-0.932066041111111","-0.923376019038462"
"9","-0.9699944882","-0.94645197","-0.972573867555556","-0.971242423076923","-0.936306558809524","-0.901317321632653"
