"subject","laying","sitting","standing","walking","walking_downstairs","walking_upstairs"
"1","-0.85236629022","-0.949040933191489","-0.976324063584906","-0.947717226105263","-0.895939695102041","-0.912379410377358"
"11","-0.984192606315789","-0.971661610754717","-0.989433253617021","-0.960852684067797","-0.925814906086956","-0.906933171111111"
"14","-0.90130385627451","-0.938415738148148","-0.940757718","-0.947516969830508","-0.879565316666667","-0.875450819074074"
"15","-0.950710357083333","-0.952973658983051","-0.958810153207547","-0.95805876537037","-0.93400831","-0.92161847875"
"16","-0.967886002","-0.945813561478261","-0.959562830769231","-0.961387254313726","-0.910588943191489","-0.907649558823529"
"17","-0.957164565211268","-0.9566106440625","-0.969171762179487","-0.956903248196721","-0.901097766521739","-0.930159843541667"
"19","-0.988819031566265","-0.960394960821918","-0.958862043972603","-0.929187930961539","-0.899363131794872","-0.83693567475"
"21","-0.952416332444444","-0.965426493882353","-0.958590002247191","-0.974939388076923","-0.916324556888889","-0.932716253829787"
"22","-0.952435389166667","-0.927950649854839","-0.958890201587302","-0.955147847391304","-0.906594023333333","-0.913153632142857"
"23","-0.976780462083333","-0.923953600294118","-0.947199734411765","-0.932981341864407","-0.905888257592593","-0.902065910392157"
"25","-0.610161166287671","-0.969459982461538","-0.967792578648649","-0.944995731216216","-0.92619169637931","-0.882722399076923"
"26","-0.984081708947368","-0.944580863846154","-0.964228470675676","-0.966231561694915","-0.9330817682","-0.929636797636364"
"27","-0.989056311351351","-0.967268066","-0.968169953625","-0.956593490526316","-0.920921521590909","-0.926675381176471"
"28","-0.97912466575","-0.956087679583333","-0.951782181518987","-0.944225031851852","-0.91705975","-0.900514013333333"
"29","-0.98577817826087","-0.966032045333333","-0.984464543538462","-0.945981437169811","-0.869300904791667","-0.858849467142857"
"3","-0.964807543870968","-0.897736318269231","-0.928161577377049","-0.952091795","-0.899943947755102","-0.909469675084746"
"30","-0.983274524857143","-0.956635663064516","-0.949207368305085","-0.943958420615385","-0.87766706","-0.862402791230769"
"5","-0.977076645","-0.945008999545455","-0.914608495714286","-0.964580803928571","-0.927192732978723","-0.92141958"
"6","-0.928130738421053","-0.955475832363636","-0.942795062280702","-0.957205025789474","-0.934378766458333","-0.906196352156863"
"7","-0.961908984423077","-0.868602535416667","-0.939161014716981","-0.952159770526316","-0.92875646893617","-0.881675909607843"
"8","-0.94183626337037","-0.935475331521739","-0.918293913703704","-0.956640104791667","-0.897190012631579","-0.876168930487805"
"10","-0.963045642431035","-0.966898520555556","-0.959579657727273","-0.957862728301887","-0.902085224736842","-0.864745838297872"
"12","-0.9596439555","-0.956208629607843","-0.939534099016393","-0.9502762272","-0.935399348043478","-0.938071183269231"
"13","-0.959892863709677","-0.930979556938776","-0.976827157368421","-0.948637587719298","-0.893962984042553","-0.910271096181818"
"18","-0.990957249538462","-0.978340183157895","-0.976044291369863","-0.97248384875","-0.921661749636364","-0.907839723965517"
"2","-0.984230418125","-0.954415873043478","-0.945927078703704","-0.972072847627119","-0.931438313191489","-0.878004056875"
"20","-0.9765185525","-0.935854966151515","-0.942437325616438","-0.953850439607843","-0.919693532888889","-0.904064093529412"
"24","-0.979239668194444","-0.963406795735294","-0.94618494942029","-0.962822966551724","-0.942207718727273","-0.934952938983051"
"4","-0.976176608888889","-0.9509492546","-0.899404775267857","-0.962968112","-0.937753794444444","-0.919619453269231"
"9","-0.9712046902","-0.88585411242","-0.932245295111111","-0.955523995576923","-0.876641297380952","-0.89407107877551"
